MUNICÖPIO,NOME DA BIBLIOTECA,VÖNCULO,ENDERE€O,BAIRRO,TELEFONE,E-MAIL
Acrelƒndia,Biblioteca P£blica Municipal de Acrelƒndia,Municipal,Rua Jos‚ de Deus, s/n,Centro,(68) 3235-1430 / (68) 99232-3266,weiga.menezes@gmail.com
Assis Brasil,Biblioteca P£blica Municipal Astrogilda Bonfim Bezerra,Municipal,Rua Otilia Amorim,Cascata,(68) 3548-1116 / (68) 99220-3163,semec.ab.ac@gmail.com
Capixaba,Casa de Leitura de Capixaba,Estadual,Travessa GaviÆo, 440,Centro,(68) 98406-8022,capixaba.educacao@ac.gov.br
Cruzeiro do Sul,Biblioteca P£blica Estadual Padre Trindade,Estadual,Travessa M rio LobÆo, s/n,Centro,(68) 99961-6657,bpe.padretrindade@gmail.com
Epitaciolƒndia,Biblioteca P£blica Estadual Elomar de Souza Braga,Estadual,Rua CapitÆo Pedro Vasconcelos, 175,Aeroporto,(68) 99975-3500,annameira200@gmail.com
Feij¢,Biblioteca P£blica Municipal Euclides da Cunha,Municipal,Rua Jos‚ Porf¡rio, s/n,2§ distrito,(68) 99979-8407,soniamoura9@gmail.com
NÆo identificado,Casa da Leitura de Feij¢,Estadual,Avenida Castelo Branco, 99,2§ Distrito,(68) 99986-0163,erasmocfc@hotmail.com
JordÆo,Biblioteca P£blica Municipal de JordÆo,Municipal,Avenida Francisco Dias, s/n,Centro,(68) 99202-0379,
Mƒncio Lima,Biblioteca P£blica Municipal Luzete de Andrade Rodrigues,Municipal,Rua Alberto Gadelha de Oliveira, 167,Centro,(68) 99972-4635/99901-1099,semecml@bol.com.br
Manoel Urbano,Biblioteca P£blica Municipal de Manoel Urbano,Municipal,Rua Val‚rio Calcas MagalhÆes, s/n,Centro,,
Marechal Thaumaturgo,Biblioteca P£blica Municipal Professora Lacyr Freitas Duvale,Municipal,Rua 5 de novembro, 47,Centro,(68) 98412-7320,
Porto Acre,Biblioteca P£blica Estadual Luiz Galvez Rodrigues de µrias,Estadual,Rodovia AC 10 KM57, 595,Nova Porto Acre,(68) 99972-1499,
Porto Walter,Biblioteca P£blica Municipal de Porto Walter,Municipal,Rua Beira Rio, s/n,Centro,(68) 98422-1139,
Rio Branco,Biblioteca P£blica Estadual Adonay Barbosa dos Santos,Estadual,Avenida Get£lio Vargas, 389,Centro,(68) 99949-9998,alcionedasilva@gmail.com
NÆo identificado,Casa da Leitura Chico Mendes,Estadual,Rua Greg¢rio Filho, 80,Chico Mendes,(68) 99923-5696,alcionedasilva@gmail.com
NÆo identificado,Biblioteca P£blica do CEU das Artes,Municipal,Rua Uairipuru, s/n,Cadeia Nova,,
Rodrigues Alves,Biblioteca P£blica Municipal Professora Maria Altair de Lima,Municipal,Rua Ulisses GuimarÆes, s/n,Centro,(68) 98419-2319,
Santa Rosa do Purus,Biblioteca P£blica Municipal Wanderl‚ia Marques de Carvalho,Municipal,Rua Raimundo Fernandes de Moura, s/n,Cidade Nova,(68) 99242-6521,dulce_moraes@hotmail.com
Senador Guimard,Biblioteca P£blica Municipal Eloisa Batista de Medeiros,Municipal,Avenida Castelo Branco, 1459,Centro,(68) 99927-6659,adrya1936@hotmail.com
