MUNICÍPIO,NOME DA BIBLIOTECA,VÍNCULO,ENDEREÇO,BAIRRO,TELEFONE,E-MAIL
Acrelândia,Biblioteca Pública Municipal de Acrelândia,Municipal,Rua José de Deus, s/n,Centro,(68) 3235-1430 / (68) 99232-3266,weiga.menezes@gmail.com
Assis Brasil,Biblioteca Pública Municipal Astrogilda Bonfim Bezerra,Municipal,Rua Otilia Amorim,Cascata,(68) 3548-1116 / (68) 99220-3163,semec.ab.ac@gmail.com
Capixaba,Casa de Leitura de Capixaba,Estadual,Travessa Gavião, 440,Centro,(68) 98406-8022,capixaba.educacao@ac.gov.br
Cruzeiro do Sul,Biblioteca Pública Estadual Padre Trindade,Estadual,Travessa Mário Lobão, s/n,Centro,(68) 99961-6657,bpe.padretrindade@gmail.com
Epitaciolândia,Biblioteca Pública Estadual Elomar de Souza Braga,Estadual,Rua Capitão Pedro Vasconcelos, 175,Aeroporto,(68) 99975-3500,annameira200@gmail.com
Feijó,Biblioteca Pública Municipal Euclides da Cunha,Municipal,Rua José Porfírio, s/n,2º distrito,(68) 99979-8407,soniamoura9@gmail.com
,Casa da Leitura de Feijó,Estadual,Avenida Castelo Branco, 99,2º Distrito,(68) 99986-0163,erasmocfc@hotmail.com
Jordão,Biblioteca Pública Municipal de Jordão,Municipal,Avenida Francisco Dias, s/n,Centro,(68) 99202-0379,
Mâncio Lima,Biblioteca Pública Municipal Luzete de Andrade Rodrigues,Municipal,Rua Alberto Gadelha de Oliveira, 167,Centro,(68) 99972-4635/99901-1099,semecml@bol.com.br
Manoel Urbano,Biblioteca Pública Municipal de Manoel Urbano,Municipal,Rua Valério Calcas Magalhães, s/n,Centro,,
Marechal Thaumaturgo,Biblioteca Pública Municipal Professora Lacyr Freitas Duvale,Municipal,Rua 5 de novembro, 47,Centro,(68) 98412-7320,
Porto Acre,Biblioteca Pública Estadual Luiz Galvez Rodrigues de Árias,Estadual,Rodovia AC 10 KM57, 595,Nova Porto Acre,(68) 99972-1499,
Porto Walter,Biblioteca Pública Municipal de Porto Walter,Municipal,Rua Beira Rio, s/n,Centro,(68) 98422-1139,
Rio Branco,Biblioteca Pública Estadual Adonay Barbosa dos Santos,Estadual,Avenida Getúlio Vargas, 389,Centro,(68) 99949-9998,alcionedasilva@gmail.com
,Casa da Leitura Chico Mendes,Estadual,Rua Gregório Filho, 80,Chico Mendes,(68) 99923-5696,alcionedasilva@gmail.com
,Biblioteca Pública do CEU das Artes,Municipal,Rua Uairipuru, s/n,Cadeia Nova,,
Rodrigues Alves,Biblioteca Pública Municipal Professora Maria Altair de Lima,Municipal,Rua Ulisses Guimarães, s/n,Centro,(68) 98419-2319,
Santa Rosa do Purus,Biblioteca Pública Municipal Wanderléia Marques de Carvalho,Municipal,Rua Raimundo Fernandes de Moura, s/n,Cidade Nova,(68) 99242-6521,dulce_moraes@hotmail.com
Senador Guimard,Biblioteca Pública Municipal Eloisa Batista de Medeiros,Municipal,Avenida Castelo Branco, 1459,Centro,(68) 99927-6659,adrya1936@hotmail.com
