"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Água Branca","Biblioteca Pública Municipal Doutor Guedes de Miranda","Municipal","Praça Fernandes Lima","Centro","(82) 3644-1212","secretariadeculturaab2017@hotmail.com"
"Anadia","Biblioteca Pública Municipal Aurélio Buarque de Holanda","Municipal","Rua sSenador Rui Palmeira","Centro","99939-7238","sec.educ.anadia@hotmail.com"
"Arapiraca","Biblioteca Professor Pedro de França Reis","Municipal","Rua Esperidião Rodrigues, 275","Centro","(82) 991434768","hosanadepaula15@gmail.com"
"Não identificado","Arapiraquinha Professora Neuza Gomes da Silva Nascimento - Arapiraquinha I","Municipal","Praça Antônio Oliveira da Silva, s/n","Jardim Esperança","(82) 3539-2376","nobregawm@gmail.com"
"Não identificado","Arapiraquinha Professor Miguel Valeriano - Arapiraquinha II","Municipal","Rua José Aranda, s/n","Novo Horizonte","",""
"Não identificado","Arapiraquinha Claudenice de Oliveira Pimental - Arapiraquinha III - Zona Rural","Municipal","Praça Antônio Juvino da Silva, s/n","Canaã","(82) 3529-3508","nobregawm@gmail.com"
"Não identificado","Arapiraquinha Professor Erasmo Soares de Araújo - Arapiraquinha IV","Municipal","Praça Walfrido Oliveira Lima, s/n","Primavera","(82) 9939-5891 / (82) 3522-3030","nobregawm@gmail.com"
"Não identificado","Arapiraquinha Professora Maria Magdalena Filha - Arapiraquinha V","Municipal","Praça Higino Vital Barbosa, s/n","Canafístula","(82) 3539-7450 / (82) 3539-7579","nobregawm@gmail.com"
"Não identificado","Arapiraquinha Professor Aluizio Gomes Barbosa - Arapiraquinha VI","Municipal","Rua Salvelina Leite, s/n","Planalto","(82) 3521-2894 / (82) 8121-0016","nobregawm@gmail.com"
"Não identificado","Biblioteca Pública Claudeci Martins Silva - Arapiraquinha VII - Zona Rural","Municipal","Praça Antonio Nemésio, s/n","Vila São José","(82) 3529-4022",""
"Não identificado","Biblioteca Pública Terezinha Oliveira de Macedo - Arapiraquinha VIII - Zona Rural","Municipal","Rua Franciso, s/n","Vila Bananeiras","(82) 9912-9878 / (82) 3529-6071",""
"Atalaia","Biblioteca Pública Municipal Vandete Pacheco","Municipal","Rua Joaquim Fortunato, s/n","São José","(82) 3264-2054","pmatalaia@hotmail.com"
"Barra de Santo Antônio","Biblioteca Pública Municipal de Barra de Santo Antônio","Municipal","Rua Rita da Silva, s/n","Centro","(82)99181-3227","marildabarracultura@gmail.com"
"Barra de São Miguel","Biblioteca Pública Municipal Rosa Vidal da Costa Cruz","Municipal","Rua Anísio Moreira Borges, s/n","Centro","(82) 9651-1238","evelineguerra@hotmail.com"
"Batalha","Biblioteca Pública Municipal de Batalha","Municipal","Avenida Paulo Dantas, 137","Centro","(82) 99461212","alba_pimentel@hotmail.com"
"Belém","Biblioteca Pública Municipal de Belém","Municipal","Rua do Comércio, 166","Centro","(82) 3525-1105","prefeiturabelem@ig.com.br"
"Belo Monte","Biblioteca Pública Municipal de Belo Monte","Municipal","Rua do Comércio, s/n","Centro","(82) 3523-0044","gl.monteiro@ig.com.br"
"Boca da Mata","Biblioteca Pública Municipal Graciliano Ramos","Municipal","Rua Manoel Silva Teixeira, s/n","Centro","(82) 3279-1585","pmbmeducacao@yahoo.com.br"
"Branquinha","Biblioteca Pública Municipal Humberto Lucena ","Municipal","Conjunto Residencial Raimundo Nonato Q 8 S/N Platô III","Centro","(82)98106-4076","jeffersontenorio.17@hotmail.com"
"Cacimbinhas","Biblioteca Pública Municipal Cecília Meireles","Municipal","Rua Sargento Benevides, s/n","Centro","(82) 3422-1201","educacaocacimbinhas@hotmail.com"
"Cajueiro","Biblioteca Pública Municipal Jorge Ribeiro Toledo","Municipal","Avenida Industrial Cicero Toledo, s/n","Centro","(82) 9617-8717","lucienepereira66@hotmail.com"
"Campestre","Biblioteca Pública Municipal Maria Joaquina Rufino","Municipal","Rua Epitácio Pessoa, 80","Centro","(82) 3250-3052","eduardocampestrefm@hotmail.com"
"Campo Alegre","Biblioteca Pública Municipal Cândida Maria da Silva Souza","Municipal","Rua 8 de Junho, s/n","Centro","(82) 9350-6814","carlosolodum@hotmail.com"
"Não identificado","Biblioteca Pública Municipal Cônego Júlio de Albuquerque","Municipal","Rua Nova - SN","","99650-3399","iracelia48guedes@gmail.com"
"Campo Grande","Biblioteca Pública Municipal João Ferreira Cavalcante","Municipal","Praça Santa Luzia, s/n","Centro","(82)99936-2374","wilamesvital@hotmail.com"
"Canapi","Biblioteca Pública Municipal Moreno Brandão","Municipal","Avenida Joaquim Tete, s/n","Centro","(82) 8128-8865 / (82) 8142-9963","luizpedro_b@hotmail.com"
"Capela","Biblioteca Pública Municipal Monsenhor Tertuliano Passos Lima","Municipal","Avenida Dr Horácio Gomes","Centro","99935-1285","veronilda5@yahoo.com.br"
"Carneiros","Biblioteca Pública Municipal Geraldo Novaes Agra","Municipal","Avenida Adão Vieira, s/n","Centro","(82) 3627-1155 / 1274","secretaria_carneiros@hotmail.com"
"Chã Preta","Biblioteca Pública Municipal Gregório Vasconcelos","Municipal","Rua Padre Dimas, s/n","Centro","(82) 9950-5775 / (82) 3372-9009","ascumpet@bol.com.br"
"Coité do Nóia","Biblioteca Pública Municipal Tancredo Neves","Municipal","Praça Antônio Pedro de Albuquerque, s/n","Centro","(82) 8106-4559 / (82) 3526-1132","leandrosmco@hotmail.com"
"Colônia Leopoldina","Biblioteca Pública Municipal Neide Alcântara Oliveira","Municipal","Praça Dom Pedro II, s/n","Centro","(82) 9100-1247","adeilton_nc@hotmail.com"
"Coqueiro Seco","Biblioteca Pública Municipal Hosana Guardino de Lima","Municipal","Rua João XXII, s/n","Centro","(82) 8819-0109 / (82) 9333-8233","josyvieira_1@hotmail.com pcseco@ig.com.br"
"Coruripe","Biblioteca Pública Municipal Professora Marli dos Santos","Municipal","Avenida Camaçari, S/N, ","Pindorama","(82)99113-3249","therezaw@hotmail.com"
"Não identificado","Biblioteca Pública Municipal Doutor Luiz Ramalho dos Reis","Municipal","Rua Lindolfo Simões, 443","Centro","(82)99113-3249","therezaw@hotmail.com"
"Craíbas","Biblioteca Pública Municipal de Craíbas","Municipal","PraçaSão Pedro, s/n","Centro","(82) 9152-5997","warcicbranco@hotmail.com"
"Delmiro Gouveia","Biblioteca Pública Municipal Iêda Damasceno","Municipal","Rua Angelina Oliveira n 118","Centro","(82)99984-7786","tialenilda@yahoo.com.br"
"Dois Riachos","Biblioteca Pública Municipal de Dois Riachos","Municipal","Avenida Miguel Vieira de Novais, s/n","Centro","(82) 8185-2257","pmdoisriachos.al@hotmail.com"
"Estrela de Alagoas","Biblioteca Pública Municipal Desembargador Hélio Cabral","Municipal","Praça Luiz Duarte, 110","Centro","(82) 3420-1105 / (82) 3420-1175","claudeon33@hotmail.com"
"Feira Grande","Biblioteca Pública Municipal Margarita Atanazio da Silva","Municipal","Rua 7 de setembro, s/n","Centro","(82) 9920-6669","renatamanhaes@oi.com.br"
"Feliz Deserto","Biblioteca Pública Municipal Aleixo de Araújo Lessa","Municipal","Praça Domingos Mendes, s/n","Centro","(82)  9357-2256","ednagusmao01.@gmail.com"
"Flexeiras","Biblioteca Pública Municipal de Flexeiras","Municipal","Rua Coronel Alcântara, s/n","Centro","(82) 99360-5513","semedflexeiras@gmail.com"
"Girau do Ponciano","Biblioteca Pública Municipal Professor Claonilton Vieira","Municipal","Rua da Matriz, s/n","Centro","(82) 3520-1324","secult_girau@bol.com.br"
"Ibateguara","Biblioteca Pública Municipal José Luís Lessa da Silva","Municipal","Rua Doutor Janete de Araújo, 779","Centro","(82) 8856-5191","luleite.1414@hotmail.com"
"Igaci","Biblioteca Pública Municipal Izabel Barbosa Calixto","Municipal","Praça Antônio Toledo, s/n","Centro","(82) 3423-1327","prefeituraigaci@ig.com.br"
"Igreja Nova","Biblioteca Pública Municipal Ênio Silva","Municipal","Avenida Santos Filho, 101","Centro","(82) 3554-1475","marlon.matias@hotmail.com"
"Inhapi","Biblioteca Pública Municipal Professor Paulo Freire","Municipal","Rua Padre Cícero, s/n","Centro","(82) 8124 -2170 / (82) 9966-5539","seculsinhapi@gmail.com"
"Jacaré dos Homens","Biblioteca Pública Municipal Professora Josefa Duarte Monteiro","Municipal","Rua Santo Santo Antonio 07","Centro","(82) 98133-7117","enauracosta@hotmail.com"
"Jacuípe","Biblioteca Pública Municipal de Jacuipe","Municipal","Rua Miguel Morato, 35","Centro","(82) 9144-0737","prefeituradejacuipe@hotmail.com"
"Japaratinga","Biblioteca Pública Municipal Maria da Apresentação Trindade","Municipal","Rua José Vitoriano da Silva S/N","Centro","(82) 99314- 7201","rozilynebeltrão@hotmail.com"
"Jaramataia","Biblioteca Pública Municipal Padre Joseval Mendes da Silva","Municipal","Rua do Comércio, s/n","Centro","(82) 9928-9821","cristinaalessandra@yahoo.com.br"
"Jequiá da Praia","Biblioteca Pública Municipal de Jequiá da Praia","Municipal","Rua Boa Vista, s/n","Centro","(82) 3276-5662","educacao-jaquia@bol.com.br"
"Joaquim Gomes","Biblioteca Pública Municipal Professora Rosilda Maria Lins","Municipal","Rua José Correia de Araújo, 50","Centro","(82) 9917-6267","santossilva@hotmail.com"
"Jundiá","Biblioteca Pública Municipal Pedro Suruagy","Municipal","Rua Santa Terezinha, 28","Centro","(82) 9150-9147","pmjundiaal@hotmail.com"
"Junqueiro","Biblioteca Pública Municipal Maria José Almeida","Municipal","Avenida, 09 de Julho s/n","Centro","99131-9804","patrindade@live.com"
"Lagoa da Canoa","Biblioteca Pública Municipal Agnelo Rodrigues de Melo","Municipal","Rua Vicente Ferreira de Farias, 34","Centro","(82)99972-0764","joelma.biblioteca@gmail.com"
"Limoeiro de Anadia","Biblioteca Pública Municipal Denison Costa Amorim Albuquerque","Municipal","Rua Alto do Cruzeiro, s/n","Centro","(82) 9693-8863 / (82) 8126-6329","culturalimoeiro@gmail.com"
"Maceió","Biblioteca Pública Estadual Graciliano Ramos","Estadual","Praça Dom Pedro II, 57","Centro","(82) 33157877","bpe.alagoas@gmail.com"
"","Biblioteca Pública Municipal Graciliano Ramos","Municipal","Rua Sá e Albuquerque, s/n","Jaraguá","(82) 3336-2357 / (82) 8833-3588","viniciusfmac@gmail.com"
"Major Isidoro","Biblioteca Pública Municipal Doutor Pedro Edson do Amaral","Municipal","Rua Antônio Pereira Souza, 28","Centro","(82) 9693-8863 / (82) 8126-6329","Andremajorizidoro.al@gmail.com"
"Mar Vermelho","Biblioteca Pública Municipal Guimarães Passos","Municipal","Rua Coronel Álvaro Almeida, s/n","Centro","(82) 9157-0135","semedmv2016@gmail.com"
"Maragogi","Biblioteca Pública Municipal Doutor José Luís Beltrão Mavignier","Municipal","Praça Batista Acioly, 23","Centro","(82) 99308-4005","seccultura@maragogi.al.gov.br"
"Maravilha","Biblioteca Pública Municipal Petronila Barbosa de Carvalho","Municipal","Rua Herculino Carvalho, s/n","Centro","(82) 3625-1123 / (82) 8116 5934","Mariah_dil@hotmail.com"
"Marechal Deodoro","Biblioteca Pública Municipal Doutor Tavares Bastos","Municipal","Rua Doutor Tavares Bastos, s/n","Centro","(82) 99661-3561","carlitoplima@gmail.com"
"Maribondo","Biblioteca Pública Municipal Manoel Miguel da Silva","Municipal","Rua Professor Manoel Miguel da Silva, 35","Centro","(82) 3270-1546","rommeltoledogm@hotmail.com"
"Mata Grande","Biblioteca Pública Municipal Floriano Peixoto","Municipal","Rua Ubaldo Malta, 107","Centro","(82) 3642-1122","semedmg@gmail.com"
"Matriz de Camaragibe","Biblioteca Pública Municipal Doutor Luiz Carlos Ernesto Maranhão","Municipal","Praça Bom Jesus, s/n","Centro","(82) 8851-0920 / (82) 3251-1663","duwatavares2010@hotmail.com"
"Minador do Negrão","Biblioteca Pública Municipal Izabel Oliveira Ferro","Municipal","Avenida Berlamino Vieira Barros, 32","Centro","(82) 3427-1241","angelica.biologa@hotmail.com"
"Monteirópolis","Biblioteca Pública Municipal Monteirópolis","Municipal","Rua do Comércio, 34","Centro","(82) 9928-6295 / (82) 9969-0466","katianamonteiro@yahoo.com.br"
"Murici","Biblioteca Pública Municipal Mozart Damasceno","Municipal","Rua do Comércio, s/n","Centro","(82) 3286-1264 / (82) 3286-1592","prefeituramurici@uol.com.br/reimarinho.al@gmail.com"
"Novo Lino","Biblioteca Pública Ludovico Soares de Medeiros","Municipal","Avenida Antônio Carlos da Silva, s/n","Centro","(82) 98890-7025","smenovolino@hotmail.com"
"Olho d'Água das Flores","Biblioteca Pública Municipal Anna Maria Paes Barreto dos Anjos","Municipal","Rua 6 de Fevereiro, s/n","Centro","(82) 9642-3357","jcdjnino@gmail.com"
"Olho d'Água do Casado","Indústria do Conhecimento SESI Professora Neusa Britto Petraukas","Municipal","Rua Carlos Lacerda, s/nº ","Centro","(82)98810-3774","sec_olhodaguadocasado@hotmail.com"
"Não identificado","Biblioteca Pública Municipal Maria das Dores Leite","Municipal","Avenida Guiomar Brito, s/n","Centro","(82) 3643-1196","sec_olhodaguadocasado@hotmail.com"
"Olho d'Água Grande","Biblioteca Pública Municipal Professor Pedro Reis","Municipal","Rua do Comércio, s/n","Centro","(82) 9176-5436","joaobatistadonascimentofilho@hotmail.com"
"Olivença","Biblioteca Pública Municiapal Prof. Gilson José Vilela Ferreira","Municipal","Rua Nossa Senhora do Carmo, s/n","Centro","(82) 3632-1132","semedolivenca@gmail.com"
"Ouro Branco","Biblioteca Pública Municipal Audálio Rodrigues Filho","Municipal","Rua do Comércio, s/n","Centro","(82) 3629-1407","marri.al@hotmail.com"
"Palestina","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Pedro Félix de Melo, 490","Centro","(82) 3631-1151","apoliveirasouza@gmail.com"
"Palmeira dos Índios","Biblioteca Pública Municipal Graciliano Ramos","Municipal","Rua Luiz Pinto de Andrade, s/n","Centro","(82) 9308-0959","isvaniamarques@hotmail.com"
"Pão de Açúcar","Biblioteca Pública Municipal Escritor Aldemar de Mendonça","Municipal","Avenida Bráulio Cavalcante, s/n","Centro","(82) 9959-6136","nelcarvalhosilva@hotmail.com"
"Pariconha","Biblioteca Pública Municipal de Pariconha","Municipal","Rua Manoel Francisco dos Santos, s/n","Centro","(82) 8117-0801","vaneidegomesdonascimento@gmail.com"
"Paripueira","Biblioteca Pública Municipal Professor Inocêncio Bezerra Borges","Municipal","Avenida Governador Luiz Cavalcante,132","Centro","(82) 3293-1296","antonia.paripueira@hotmail.com"
"Passo de Camaragibe","Biblioteca Pública Municipal Aurélio Buarque de Holanda Ferreira","Municipal","Rua Doutor Xavier, s/n","Centro","(82) 3258-1139 / (82) 3258-1343 / (82) 3258-1173","semec.pcamaragibe@gmail.com"
"Paulo Jacinto","Biblioteca Pública Municipal Antônio de Souza Barbosa","Municipal","Rua São José, s/n","Nossa Senhora das Graças","(82) 9974-6786 / (82) 9104-7442","paulohenriquevasconcelos@hotmail.com"
"Penedo","Biblioteca Pública Municipal e Museu do São Francisco","Municipal","Avenida Floriano Peixoto, 164","Centro","(82) 9975-1616","jorginhoserapiao@hotmail.com"
"Piaçabuçu","Biblioteca Pública Municipal de Piaçabuçu","Municipal","Rua Mestre Francelino","Centro","(82) 99150-5212","edvania.tj.al@hotmail.com
"
"Pilar","Biblioteca Pública Municipal Arthur Ramos","Municipal","Rua Costa Rego, s/n ","Centro","(82) 987280-1623","janaina.pagamonha@gmail.com 
"
"Pindoba","Biblioteca Pública José Brás da Costa","Municipal","Rua da Paz, s/n","Centro","(82)99423-5197","ar-cinho19@hotmail.com
"
"Piranhas","Biblioteca Pública Municipal Doutor Antônio Nunes Lisboa","Municipal","Rua José Martiniano Vasco, s/n","Centro","(82) 9805-7305","jcscelatiel@hotmail.com"
"Poço das Trincheiras","Biblioteca Pública Municipal Teotônio Vilela","Municipal","Praça Leopoldo Wanderley, s/n","Centro","(82) 8124-9828","gilvandaramalho@hotmail.com"
"Porto Calvo","Biblioteca Pública Municipal Senador Teotônio Vilela Filho","Municipal","Rua Professor Guede","Centro","(82) 99331-9874","valdenia1997@hotmail.com"
"Porto de Pedras","Biblioteca Pública Municipal Padre Alípio II","Municipal","Rua Fernandes Lima, 11","Centro","(82) 3298-1216","sec_culturapp@hotmail.com"
"Porto Real do Colégio","Biblioteca Pública Municipal Enoy Magalhães Bitencourt","Municipal","Avenida Moacyr Andrade, s/n","Centro","(82) 3553-1110","jrjuniorcastro@yahoo.com.br"
"Quebrangulo","Biblioteca Pública Municipal Graciliano Ramos","Municipal","Avenida Cícero de Goes Monteiro, 139","Centro","(82)  99945-0440","andreaguimaraesal@hotmail.com"
"Rio Largo","Biblioteca Pública Municipal Adauto Gomes Barbosa","Municipal","Rua 15 de agosto, s/n","Centro","(82) 3261-5400","helvio.soares@hotmail.com"
"Roteiro","Biblioteca Pública Municipal Nivaldo Jatobá","Municipal","Rua João Pedro, s/n","Centro","(82) 3276-1125","ana-ribeiro2011@hotmail.com"
"Santa Luzia do Norte","Biblioteca Pública Municipal Lindinalva Romeiro","Municipal","Rua Imaculada Conceição, s/n","Centro","(82) 98708-5122","cassine1978@gmail.com"
