"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Amapá","Biblioteca Pública Municipal Castro Alves","Municipal","Rua Guarani, s/n","Centro","(96)3421-1567",""
"Calçoene","Biblioteca Pública Municipal Professor Marcivaldo Silva ","Municipal","","","",""
"Cutias","Biblioteca Pública Municipal Nara Lúcia Ferreira Camarão","Municipal","Rua Raimundo Valério, s/n","Centro","(96) 3324-1280",""
"Ferreira Gomes","Biblioteca Pública Municipal de Ferreira Gomes","Municipal","Avenida José do Patrocínio, 273","","",""
"Itaubal","Biblioteca Pública Municipal Aracy Miranda de Mont'Alverne","Municipal","Avenida Cora de Carvalho, 1842","Centro","(96) 3212-1130",""
"Laranjal do Jari","Biblioteca Ambiental Municipal","Municipal","","","",""
"Não identificado","Biblioteca Pública Municipal José Ribamar Pereira","Municipal","Rua Tancredo Neves, 242","Agreste","",""
"Macapá","Biblioteca Pública Municipal de Macapá","Municipal","Rua Eliezer Levy, 1610","Centro","(96) 8121-7710",""
"Não identificado","Biblioteca Pública Estadual Elcy Lacerda","Estadual","Rua São José, 1800","Central","(96) 3212-5119",""
"Mazagão","Biblioteca Pública Ambiental ","Municipal","Avenida Presidente Vargas, s/n","Centro","(96) 9145-9512",""
"Oiapoque","Biblioteca Publica Ambiental","Municipal","Rua Presidente Kenedy, s/n","Centro","(96) 3322-1234",""
"Pedra Branca do Amapari","Biblioteca Ambiental Pedra Branca do Amapari","Municipal","Avenida Deolinda Gomes, s/n","Centro","(96) 9912-6946",""
"Porto Grande","Biblioteca Pública Municipal do Porto Grande","Municipal","Avenida 8 de Agosto, 792","Centro","(96) 9115-6980",""
"Pracuúba","Biblioteca Pública Municipal de Pracuúba","Municipal","Avenida São Pedro, s/n","","",""
"Santana","Biblioteca Pública Municipal de Santana","Municipal","Avenida Antônio Nunes, 1206","Nova Brasília","",""
"Serra do Navio","Biblioteca Pública Municipal de Serra do Navio","Municipal","Rua A, 1463","Centro","(96) 9119-9292",""
"Tartarugalzinho","Biblioteca Pública Municipal de Tartarugalzinho","Municipal","Rua Mãe Verônica, 382","Centro","(96) 3422-1171",""
"Vitória do Jari","Biblioteca Pública Municipal de Vitória do Jari","Municipal","","","",""
