"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Alvarães","Biblioteca Pública Municipal de Alvarães","Municipal","Estrada Alvarães, Nogueira, 946","São Francisco","(97) 8806-9760",""
"Amaturá","Biblioteca Pública Municipal de Amaturá","Municipal","","","",""
"Anamã","Biblioteca Pública Municipal de Anamã","Municipal","","","",""
"Anori","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Professor Januário Nazaré, s/n","Centro","(97) 3352-1808",""
"Apuí","Biblioteca Pública Municipal Coriolando Fadoul","Municipal","Rua Acari, s/n","Centro","(97) 3389-1311",""
"Atalaia do Norte","Biblioteca Pública Municipal Antônio de Souza Braga","Municipal","Rua Augusto Luzeiro, s/n","Centro","(97) 3417-1191",""
"Autazes","Biblioteca Pública Municipal de Autazes","Municipal","","","",""
"Barcelos","Biblioteca Pública Municipal Alexandre Ambrósio","Municipal","Rua Durval Porto, s/n","","(97) 3321-1653",""
"Barreirinha","Biblioteca Memorial Thiago de Mello","Municipal","Avenida Espanha, s/n","Centro","(92) 9106-2359",""
"Benjamin Constant","Biblioteca Pública Municipal Francisco Soares de Assis","Municipal","Avenida Castelo Branco, s/n","Centro","(97) 3415-5333",""
"Beruri","Biblioteca Municipal de Beruri","Municipal","Rua Castelo Branco","","","secmunicipalesportecultura@hotmail.com"
"Boa Vista do Ramos","Biblioteca Pública Municipal Padre Gabriel Modica","Municipal","Rua Senador José Esteves, s/n","Centro","(92) 9121-9995",""
"Boca do Acre","Biblioteca Pública Municipal de Boca do Acre","Municipal","","","",""
"Borba","Biblioteca Pública Municipal de Borba","Municipal","Rua Constantino Neri s/n","","",""
"Caapiranga","Biblioteca Pública Municipal de Caapiranga","Municipal","","","",""
"Canutama","Biblioteca Pública de Canutama","Municipal","Rua Floriano Peixoto, S/N -","Centro","","f_gilsonrabelo@hotmail.com"
"Carauari","Biblioteca Pública Municipal de Carauari","Municipal","Rua Jorge Alves, s/n","Centro","(97) 3491-1040",""
"Careiro","Não há informações sobre biblioteca pública nesse município.","","","","",""
"Careiro da Várzea","Biblioteca Pública Municipal de Careiro da Várzea","Municipal","Rua Getúlio Vargas, 141","Centro","(92) 9153-6705",""
"Coari","Biblioteca Pública Municipal de Coari","Municipal","Rua Felipe Cunha, s/n","Centro","(97) 3481-1567",""
"Codajás","Biblioteca Pública Municipal Mozart Farias","Municipal","Rua Lupercínio Mariano, s/n","São Francisco","(97) 3483-1776",""
"Eirunepé","Biblioteca Pública Municipal Machado de Assis","Municipal","Rua Francisco Pereira de Souza, s/n","Centro","(97) 3422-1802",""
"Envira","Biblioteca Pública Municipal Esmerinda Gomes","Municipal","","","(97) 3483-1776",""
"Fonte Boa","Biblioteca Pública Municipal Oscar de Paula Portela","Municipal","Rua Marechal Deodoro, 18","Centro","(97) 9183-0346",""
"Guajará","Não há informações sobre biblioteca pública nesse município.","","","","",""
"Humaitá","Biblioteca Pública Municipal Poeta José Maria Ferreira de Castro","Municipal","","","(97) 9183-0346",""
"Ipixuna","Biblioteca Pública Municipal de Ipixuna","Municipal","Rua Isaac Peres, 2211","Centro","(92) 3521-3662",""
"Iranduba","Biblioteca Pública Municipal de Iranduba","Municipal","Travessa Nilo Florêncio, s/n","","",""
"Itacoatiara","Biblioteca Pública Municipal Manuel Anízio Jobim","Municipal","Avenida Nazaré, s/n","Centro","(92) 9159-9033",""
