"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Abaiara","Biblioteca Pública Municipal Abaiara","Municipal","Rua Padre José Leite Sampaio, s/n","Centro","(88)98846-5759/ 98833-1217","pmabaiara@hotmail.com / jeannesamp@hotmail.com/ gilvangranjeiro63@gmail.com"
"Acaraú","Biblioteca Pública Municipal Poeta Manoel Nicodemos Araújo","Municipal","Rua Major Coelho, s/n","Centro","(88) 99695-9000","andrade.marcia@hotmail.com/ cultura@acarau.ce.gov.br"
"Acopiara","Biblioteca Pública Municipal Henrique Gurgel Valente","Municipal","Avenida Pedro Alves, 120","Centro","(88) 99602-1400/ 99918-6920/ 988876-7203","sec.cultura.acopira@gmail.com/ hilder.moreira@gmail.com"
"Aiuaba","Biblioteca Pública Municipal José do Vale Arraes Feitosa","Municipal","Rua Armando Arrais Feitosa, 420","Boa Vista","(88) 99664-2237/ 99628-8269","khail_aiuba@hotmail.com/ hildenesantos1208@outlook.com"
"Alcântaras","Biblioteca Pública Municipal Francisco Cunha Freire","Municipal","Rua Pedro Caetano, s/n","Centro","(88)99417-5026/ 99415-3160","jseverinosilva@hotmail.com"
"Altaneira","Biblioteca Pública Municipal Antônio Gomes Pereira","Municipal","Rua Carneiro Almeida, s/n","Centro","(88) 99710-8736","leocardiasoares.altaneiras@gmail.com"
"Não identificado","Biblioteca Pública Municipal Distrito de São Romão","Municipal","Rua Deputado Furtado Leite, 272","Centro","(88) 99710-8736","leocardiasoares.altaneiras@gmail.com"
"Alto Santo","Biblioteca Pública Municipal Francisca Nogueira Magalhães","Municipal","Amintas Bezerra nº 31","Centro","(88) 3429-1270 / (88) 3429-2080 / (88) 99981-0990","tarcilio@live.com"
"Amontada","Biblioteca Pública Municipal Ana Rita Alves Braga","Municipal","Avenida General Alípio dos Santos","Centro","(85)99935-4100","acm027@gmail.com/bibliotecaanarita@gmail.com"
"Antonina do Norte","Biblioteca Pública Municipal Maria de Fátima Garcia de Brito","Municipal","Avenida Nelito Mendes, 119","Centro","(88) 99239-5475/ 9926-9827","lekaarrais@hotmail.com"
"Apuiarés","Biblioteca Pública Municipal Professora Maria Salete Freitas","Municipal","Rua Joaquim Martins Neto, 25","Centro","(85)99189-8360","Ceciliamvmatos@gmail.com/ dhanielpaiva0922@gmail.com"
"Aquiraz","Biblioteca Pública Municipal Justiniano de Serpa","Municipal","Rua Francisco Camara, 96","Centro","(85) 99696-9393/ 98606-3753","secultaquiraz@gmail.com/vaniaoliveira1101@gmail.com"
"Aracati","Biblioteca Pública Municipal Monsenhor Bruno","Municipal","Avenida Dragão do Mar, 260","Centro","(88)99686-0922/ 99363-3938","aldo.adm10@gmail.com/andrealayla@live.com/ karlafirmeza@aracati.ce.gov.br/isabellebarros.ce.gov.br"
"Aracoiaba","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Getúlio Vargas, 201","Centro","(85)99668-0643/99796-1376","emiliofcf@yahoo.com"
"Ararendá","Biblioteca Pública Municipal Maria Carlos Mourão","Municipal","Rua Napoleão Ribeiro Torres, s/n","Centro","(88) 3633-1099/ 99468-6869/ 99406-3659","bibliotecaararenda@hotmail.com/ euvanialopes@hotmail.com /cassiomiguelespsan@gmail.com"
"Araripe","Biblioteca Pública Municipal Maria Guedes Valentim","Municipal","Avenida Simplício Alencar s/n","Centro","(88) 99284-7943 (88) 99419-1493","frannelson13@hotmail.com /nivaldojsn@gmail.com/ bibliotecararipe@hotmail.com"
"Aratuba","Biblioteca Pública Municipal Professor José Adolfo Lima","Municipal","Rua Júlio pereira, s/n","Centro","(85) 99625-4413","emanuela22martins@gmail.com"
"Arneiroz","Biblioteca Pública Municipal Professor Paulo de Melo Jorge Filho","Municipal","Avenida Coronel Virgílio Távora, s/n","Centro","(88)99709-4295/ 99960-7757","valdemar_lo@hotmail.com/ fabriciofortaleza@hotmail.com"
"Assaré","Biblioteca Pública Municipal Professor João Bantim de Sousa","Municipal","Rua Padre Agamenon Coelho s/n","Centro","(88)99769-0404/99870-6447/ 99607-2501","secultassare@gmail.com/ edival25@gmail.com/ aparecida052010@hotmail.com"
"Aurora","Biblioteca Pública Municipal Antônio de Alencar Araripe","Municipal","Rua Coronel Botelho Leite, 02 c/ Praça da Estação","Centro","(88) 99974-0807","jccariry@gmail.com"
"Baixio","Biblioteca Pública Municipal de Baixio","Municipal","Rua Coronel Francisco Luiz, 186","Centro","(88) 99976-6622/ 99661-3040","apffquaresma25@gmail.com"
"Banabuiú","Biblioteca Pública Municipal Aurenir Santiago Lopes Nobre","Municipal","Rua Demócrito Pinto, s/n","Centro","(88)99974-4373/ 99649-6444","gerlaniagmb@gmail.com/mar.iliasa@hotmail.com"
"Barbalha","Biblioteca Pública Municipal Padre Agostinho Mascarenhas","Municipal","Rua da Matriz, 25","Centro","(88)98885-1313/99957-3152/99985-2386","belyleal@hotmail.com/belyah@bol.com.br/eletrosamtr.romulo@.com"
"Não identificado","Biblioteca Pública do CEU das Artes","Municipal","Rua Princesa Izabel, 187","Centro","(88)98885-1313/99957-3152/99985-2386","beyleal@hotmail.com"
"Barreira","Biblioteca Pública Municipal Simplício Pereira da Silva","Municipal","Rua Senhor de Castro s/n","Centro","",""
"Barro","Biblioteca Pública Municipal Professora Crisantina Monteiro Dias","Municipal","Rua José Leite Cabral","Centro","(88)99840-0447","netobarro2012@gmail.com/ secretariadeculturabarro@gmail.com"
"Barroquinha","Biblioteca Pública Municipal de Barroquinha","Municipal","Praça Delmiro Veras","Centro","(88) 98838-0373","culturabarroquinha@yahoo.com.br"
"Baturité","Biblioteca Pública Municipal Senador Menezes Pimentel","Municipal","Avenida Dom Bosco - prédio do Espaço Cultural, s/n","Centro","(85) 99971-5982","wendneyrodrigues@hotmail.com"
