"REGIÃO ADMINISTRATIVA","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Águas Claras","Biblioteca Pública de Águas Claras","Distrital","Praça da Coruja, Rua Ipê Amarelo,lote01","Sul","(61)3382-5963/ 3036-5207","bibliotecadeaguasclaras@gmail.com"
"Brasília","Biblioteca de Brasília","Distrital","EQS 312/313","Asa Sul","(61) 3245-5022/ 3346-5560 ","bibpub312@gmail.com"
"Brazlandia","Biblioteca de Brazlândia","Distrital","Área Especial 4 Verendinha (Antiga Revenda)","Setor Tradicional","(61)3479-2406/ 98627-0672","jessica.rodrigues@brazlandia.df.gov.br"
"Candangolândia","Biblioteca de Candangolândia","Distrital","Rua dos Transportes","Área Especial  01","(61) 3301-2686 /98594-8344",""
"Ceilândia","Biblioteca Pública de Ceilândia Carlos Drummond de Andrade","Distrital","QNM 13 Módulo B, Área Especial","Ceilândia Norte","(61) 3372 3150/ 98550-1298","ceilandia.biblioteca@gmail.com"
"Cruzeiro","Biblioteca Pública do Cruzeiro","Distrital","CRES -Quadra EspecialC Cruzeiro Velho(Centro Cultural Rubem Valentim)","","(61) 3345-0634","Renatinhocamarao@yahoo.com.br"
"Gama","Biblioteca Pública do Gama","Distrital","Praça 1 - Área Especial S/N, Setor Leste (Antiga IFB, ao lado da Rodoviária do Gama )","Setor Central (Gama)","(61)3272-1627",""
"Guará","Biblioteca Pública do Guará","Distrital","Área Especial do CAVE, Casa da Cultura","Guará II","(61)3383-7261/ 3383-7286","delsondutra@uol.com.br"
"Itapoã","Biblioteca Pública do Itapoã","Distrital","Quadra61, Àrea Especial","Itapoã I","(61)99335-9776","Franciscolendrod@yahoo.com.br"
"Núcleo Bandeirante","Biblioteca Pública do Núcleo Bandeirante","Distrital","Praça Padre Roque, 3ª avenida","","(61)98435-2722/ 3486-9559","rogeriolcr@gmail.com"
"Recanto das Emas","Biblioteca Pública do Recanto das Emas - Lúcio Costa","Distrital","Quadra 302, lote 06, Avenida Recanto das Emas","","(61)3332-3179/ 3333-9009/ 98501-3453",""
"Recanto das Emas","Biblioteca Pública Céu das Artes","Distrital","QR 517, Recanto das Emas","","(61)99835-6565",""
"Não identificado","Biblioteca Pública Recanto das Emas - 805","Distrital","Quadra 805, Área Especial","","(61)3333-2773/ 3333-9000/3333-9019",""
"Riacho Fundo I","Biblioteca Pública do Riacho Fundo I","Distrital","Área Central 03, lote 5","","(61) 3399-4088/ 3333-9600",""
"Rancho Fundo II","Biblioteca Pública do Riacho Fundo II","Distrital","QN 7 Conjunto 6 lote1/2","","(61)3333-9620/ 3333-9615/ 3333-9600","bibliotecacelia.m@gmail.com"
"Samambaia","Biblioteca Pública de Samambaia","Distrital","QS 407,Conjunto G, Lote 01 Sambaia Norte","","(61)3459-4983 /3359-9334/ 3359-9301","Bibliotecasamambaia407@gmail.com"
"Santa Maria Norte","Biblioteca Pública de Santa Maria Norte","Distrital","EQ 215/315, Lote B (ao lado do CAIC)","","(61) 3394-1264/ 3392-8437/3392-8437",""
"Santa Maria Sul","Biblioteca Pública de Santa Maria Sul","Distrital","AE 204 - Salão Comunitário","","(61) 3393-9067/ 3392-8437 / 3392-8429/ 3392-8488","eloira@gmail.com"
"São Sebastião","Biblioteca Pública São Sebastião","Distrital","Quadra 101 Área Especial - Residencial Oeste Prédio da Administração Regional","","(61) 3335-9036","bibliotecasaosebastiao@gmail.com"
"Sobradinho","Biblioteca Pública de Sobradinho","Distrital","Área Reservada 05, Quadra 08","","(61) 3387-0428",""
"Sobradinho II","Biblioteca Pública de Sobradinho II","Distrital","Àrea Especial 12.(ao Lado da  Universidade)","","(61) 3483-3151/ 3453-9322",""
"Taguatinga","Biblioteca Pública de Taguatinga - Machado de Assis","Distrital","CNB 01 Área Especial","Taguatinga Norte (Taguatinga)","(61) 3351-3134 / (61) 3563-6198",""
"Não identificado","Biblioteca Braille ""Dorina Nowill""","Distrital","CNB 01, Àrea Especial 01, Centro","Taguatinga Norte (Taguatinga)","(61)39013549","bibliobraile@gmail.com"
"Vicente Pires","Biblioteca Pública de Vicente Pires ","Distrital","Rua 4A, Travessa 04, Área Especial Setor Habitacional, administração Vicente pires","Rua 4A","(61)3383-7526 / 3383-7500",""
