"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Abadia de Goiás","Biblioteca Pública Municipal Eisenhower Pinheiro Lana","Municipal","Avenida Comercial, Quadra 06, Lote 07","Centro","(62) 3503-1716",""
"Abadiânia","Biblioteca Pública Municipal  Frei Matheus Rocha","Municipal","Avenida Geraldo Rodrigues dos Santos, s/n","Centro","(62) 3343-2285",""
"Acreúna","Biblioteca Pública Municipal Jerônimo Martins Marques","Municipal","Rua Jordelina do Carmo Arantes, 86","Serra Dourada","(64) 3645-8009",""
"Adelândia","Biblioteca Pública Municipal Nocomedis Joaquim da Silva","Municipal","Rua João Afonso, s/n","Seror Noroeste","(64) 3695-1426",""
"Água Fria de Goiás","Biblioteca Pública Municipal  de Água Fria de Goiás","Municipal","Avenida João Orivê Rodrigues, Quadra 32, Lote 01","Centro","6234641138",""
"Água Limpa","Biblioteca Pública Municipal Lêda Aparecida do Prado Cunha","Municipal","Praça da Matriz, s/n","Centro","(64) 3489-1276",""
"Águas Lindas de Goiás","Biblioteca Pública Municipal Cora Coralina","Municipal","Quadra 31, Conjunto B, Lote 1A","Setor 2","(61) 9622-7465",""
"Alexânia","Biblioteca Publica de Alexãnia","Municiapal","Rua 76, Quadra 66, lote 01, Setor Sudoeste, Alexânia/GO","Centro","(62) 99973-2496",""
"Alexânia","Biblioteca Pública Municipal de Alexânia","Municipal","Avenida Nelson Santos, s/n","Centro","(62) 3336-1113",""
"Aloândia","Biblioteca Pública Municipal de Aloandia","Municipal","Avenida 24 de junho, 38","Centro","",""
"Alto Horizonte","Biblioteca Pública Municipal de Alto Horizonte","Municipal","Rua Ribeiro Otoni, 62","Bela Vista","(62) 3383-3235",""
"Alto Paraíso de Goiás","Biblioteca Pública Municipal  Professora Maria da Costa Pires","Municipal","Rua Lorino Barbosa, s/n","Centro","(62) 3446-1003",""
"Alvorada do Norte","Biblioteca Pública Municipal Cultura Viva","Municipal","Rua da Consolação, s/n","Centro","(62) 3421-1618",""
"Amaralina","Biblioteca Pública Municipal  Cora Coralina","Municipal","Rua Assembleia de Deus, s/n","Centro","(62) 3384-3140",""
"Americano do Brasil","Biblioteca Pública Municipal Joaquim de Paula Rosa","Municipal","Rua Três Poderes, s/n","Centro","(64) 3504-1772",""
"Amorinópolis","Biblioteca Pública Municipal Professor Dinamérico Correa Guimarães","Municipal","Rua São Paulo, 252","Centro","(64) 3677-1151",""
"Anápolis","Biblioteca Pública Municipal Zeca Batista","Municipal","Praça Americano do Brasil, S/N","Setor Central","(62) 3902-1013","bibliotecamunicipalzb@edu.anapolis.go.gov.br"
"Anhanguera","Biblioteca Pública Municipal de Anhanguera","Municipal","Avenida Belchior de Godoy, s/n","Centro","(64) 3469-1140",""
"Anicuns","Biblioteca Pública Municipal José de Sena Chard","Municipal","Avenida Tocantins, s/n","Centro","",""
"Aparecida de Goiânia","Biblioteca Pública Municipal Manoel Antônio do Carmo","Municipal","Avenida Benedito Silvestre Toledo, s/n","Independência","(62) 3537-3697",""
"Não identificado","Biblioteca Pública Municipal  Ursulino Tavares Leão","Municipal","Avenida das Nações, s/n, Quadra, 14, Lote 01","Setor Vera Cruz","(62) 3548-4809",""
"Aparecida do Rio Doce","Biblioteca Pública Municipal Firmino Barbosa Franco","Municipal","Rua Belmiro Nogueira da Silva, s/n","Centro","(64) 3637-1106",""
"Aporé","Biblioteca Pública Municipal Beija-Flor","Municipal","Avenida João Nunes, 356","Centro","(64) 3644-1181",""
"Araçu","Biblioteca Pública Municipal Professora Eunice Soyer Borges","Municipal","Rua João Elias Medeiros, s/n","Centro","",""
"Aragarças","Biblioteca Pública Municipal Jandira Ramos Cardoso","Municipal","Praça Ostácio martins de Souza, s/n","Centro","(64) 3638-3031",""
"Aragoiânia","Biblioteca Pública Municipal Manoel Alves Celes","Municipal","Avenida Goiás, 604","Centro","(62)3550-2263",""
"Araguapaz","Biblioteca Pública Municipal de Araguapaz","Municipal","Avenida Goiás, s/n","Centro","(62)3380-1198",""
"Arenópolis","Biblioteca Pública Municipal Professor Hugo Giradin","Municipal","Praça Inácio de Melo, s/n","Centro","(64)3667-1216",""
"Aurilândia","Biblioteca Pública Municipal Professor José Barbosa de Medeiros","Municipal","Rua Capitão João Gomes Porto, 360","Centro","(96)3684-1212",""
"Avelinópolis","Biblioteca Pública Municipal de Avelinópolis","Municipal","Avenida Anicuns, s/n","Centro","",""
"Barro Alto","Biblioteca Pública Municipal Dona Maria Divina da Silva","Municipal","Rua São Paulo, s/n","Centro","(62)3347-6337",""
"Bela Vista de Goiás","Biblioteca Pública Municipal de Bela Vista de Goiás","Municipal","Rua Coronel João Camilo, 338","Centro","(62)3551-7053",""
"Bom Jardim de Goiás","Biblioteca Pública Municipal Professora Alacir Alcântara","Municipal","Rua Manoel Perdigão, 20","Centro","(64)3657-1390",""
"Bom Jesus de Goiás","Biblioteca Pública Municipal Maria Cassiano dos Santos","Municipal","Praça Luís Gomes de Freitas Olímpia, s/n","Centro","(64)3608-6070",""
"Bonfinópolis","Biblioteca Pública Municipal Esaú do Carmo","Municipal","Avenida 01 Quadra 17, Lote 8, 26","Centro","",""
"Bonópolis","Biblioteca Pública Municipal Maria das Graças Afra Borges","Municipal","Avenida Amazonas, s/n","Centro","(62)3393-1285",""
"Brazabrantes","Biblioteca Pública Municipal José Mendonça Telles","Municipal","Rua Aureliano C. Machado, s/n","Centro","(62)3529-1255",""
"Britânia","Biblioteca Pública Municipal de Britânia","Municipal","Avenida Brasília, 365","Centro","(62)3383-1401",""
"Buriti Alegre","Biblioteca Pública Municipal Professora Ales Oliveira Ataídes","Municipal","Praça Agnelo Naves de Souza, s/n","Centro","",""
"Buriti de Goiás","Biblioteca Pública Municipal Caminho do Saber","Municipal","Avenida Deputado Sólon Amaral, s/n","Centro","(64)3699-1252",""
"Buritinópolis","Biblioteca Pública Municipal Cora Coralina","Municipal","Avenida Buriti, s/n","Centro","(61)3406-1106",""
"Cabeceiras","Biblioteca Pública Municipal de Cabeceiras","Municipal","Setor Mariano Machado","Centro","",""
"Cachoeira Alta","Biblioteca Pública Municipal Maria Alves Goulart","Municipal","Praça Adelino de Oliveira, 116","Centro","",""
"Cachoeira de Goiás","Biblioteca Pública Municipal Adanair Alves de Rezende","Municipal","Praça Vereadror Orozimbo Vieira de Souza, s/n","Centro","(64)3676-1122",""
"Caçu","Biblioteca Pública Municipal Lazinho Pintado","Municipal","Avenida Idelfonso Carneiro, s/n","Centro","(64)3656-6012",""
"Caiapônia","Biblioteca Pública Municipal Sebastião Pereira da Silva","Municipal","Avenida Lindolfo Alves Dias, s/n","Centro","(64)3663-1025",""
"Caldas Novas","Biblioteca Pública Municipal Professor Josino Ferreira Brito","Municipal","Centro de Assitência Municipal (CAM)","Centro","(64)3454-3521",""
"Campestre de Goiás","Biblioteca Pública Municipal Professor Manuel Maia","Municipal","Avenida São João, s/n","Centro","(62)3557-1582",""
"Campinaçu","Biblioteca Pública Municipal de Campinaçu","Municipal","Avenida 17 de Setembro, 18","Centro","(62)3377-3248",""
"Campo Alegre de Goiás","Biblioteca Pública Municipal Benedita Lisboa Castro","Municipal","Praça Coronel João Vaz, s/n","Centro","(64)3696-1464",""
"Campo Limpo de Goiás","Biblioteca Pública Municipal de Campo Limpo de Goiás","Municipal","Avenida Baltazar Cardoso, s/n","Centro","(62) 3345-1241",""
"Campos Belos","Biblioteca Pública Municipal de Campos Belos de Goiás","Municipal","Avenida Joaquim Selino, s/n","Centro","(62) 3664-1242",""
"Campos Verdes","Biblioteca Pública Municipal Bernardo Elis","Municipal","Avenida Principal, s/n","Centro","6233516644",""
"Carmo do Rio Verde","Biblioteca Pública Municipal de Carmo do Rio Verde","Municipal","Avenida Coronel José Teodoro, 53","Centro","6233376896",""
"Castelândia","Biblioteca Pública Municipal Professora Roseli Terezinha de Abreu","Municipal","","","",""
"Catalão","Biblioteca Pública Municipal Doutor Luiz Alcântara de Oliveira","Municipal","Avenida 20 de Agosto, 1900","Centro","6234423998",""
"Cavalcante","Biblioteca Pública Municipal Padre Geraldo","Municipal","Rua 13, Quadra 45, Lote. 510","Cavalcantinho","6234941270",""
"Ceres","Biblioteca Pública Municipal Joel da Silva Morais","Municipal","Praça João Pedrosa, s/n","Centro","6233072070",""
"Cezarina","Biblioteca Pública Municipal Érico Ramos de Oliveira","Municipal","Rua 6, Quadra 17","Vila Calândia","",""
"Chapadão do Céu","Biblioteca Pública Municipal Alberto Rodrigues da Cunha","Municipal","Avenida Ema, s/n, Quadra-52","Centro","6436341243",""
"Cidade Ocidental","Biblioteca Pública Municipal José Sarney","Municipal","Sq 13 Quadra 4 Lote 3","Centro","",""
"Cocalzinho de Goiás","Biblioteca Pública Municipal Dona Agnes Chagas","Municipal","Rua 10, Quadra 23, Lote 04","Centro","6233391043",""
