"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Açailândia","Biblioteca Pública Municipal de Açailândia","Municipal","Rua Marly Sarney, s/n","Centro","(98) 98222-2301","bpmacailandia@gmail.com
"
"Afonso Cunha","Biblioteca Pública Municipal de Afonso Cunha","Municipal","Praça da Comunidade, s/n","Centro","(98)98473-1106",""
"Água Doce do Maranhão","Biblioteca Pública Municipal Professora Maria Costa Oliveira","Municipal","Praça Nossa Senhora do Carmo, s/n","Centro","","irancildacosta2010@hotmail.com"
"Alcântara","Biblioteca Pública Municipal Clóvis Bevilacqua","Municipal","Rua de Baixo, s/n","Centro","(98) 99107-5373","filoso_akant@hotmail.com"
"Aldeias Altas","Biblioteca Pública Municipal de Aldeias Altas","Municipal","Avenida João Rosa,317","Centro","(99)98832-3734","joseliamora@yahoo.com"
"Alto Alegre do Maranhão","Biblioteca Pública Municipal Benedito Pereira Leite","Municipal","Rua do Comércio, s/n","Centro","",""
"Alto Alegre do Pindaré","Biblioteca Pública Municipal Maria Felicia Bispo  ","Municipal","Rua José Ferreira Leite","Centro","(98) 98484-3519","nascimentosilva.josine@gmail.com"
"Alto Parnaíba","Biblioteca Pública Municipal Aderson Lustosa","Municipal","Avenida Senador Vitorino Freire, s/n","Centro","(98) 398814-7131",""
"Amapá do Maranhão","Biblioteca Pública Municipal de Amapá do Maranhão","Municipal","Avenida Tancredo Neves, s/n","Centro","(98) 3321-1021",""
"Amarante do Maranhão","Biblioteca Pública Municipal Terezinha Peres","Municipal","Rua José de Ribamar, 327","Centro","(99) 3532-2156",""
"Anapurus","Biblioteca Pública Municipal Rui Barbosa","Municipal","Avenida João Francisco Moneteles, s/n","Centro ","(98) 98426-6447","cyntiaamalia@gmail.com"
"Apicum-Açu","Biblioteca Pública Municipal Anita Pereira Castro","Municipal","Travessa Cândido Reis, s/n","Centro","(98) 98417-7954",""
"Araguanã","Biblioteca Pública Municipal de Araguanã","Municipal","Rua Benedito Leite, 659","Centro","(98) 8407-3901",""
"Arame","Biblioteca Pública Municipal Iracilda Rocha Silva Santos","Municipal","Rua Barão de Grajau, s/n","Centro","(99)98787-2169","josearame10@hotmail.com"
"Arari","Biblioteca Pública Municipal Padre Clodomir Blant e Silva","Municipal","Avenida Hoendel Hayden, 26","Centro","(98) 98149-7145","llinderlea@yahoo.com
"
"Bacabal","Biblioteca Pública Municipal Silva Neto","Municipal","Rua Carlos Pereira, s/n","Centro","(99) 3627-3493","estrelaruth@hotmail.com"
"Bacuri","Biblioteca Pública  Municipal de Bacuri ","Municipal"," Rua São Luiz, s/n ","Centro","(98) 98407-2372
","lucivaldoma@hotmail.com
"
"Balsas","Biblioteca Pública Municipal Eloy Coelho Neto","Municipal","Praça Getúlio Vargas","Centro","(99)3541-2197","bimubls@hotmail.com"
"Barra do Corda","Biblioteca Pública Municipal Fernando Falcão","Municipal","Rua Isaac Martins, 371","Centro","(99) 3643-2333",""
"Bela Vista do Maranhão","Biblioteca Pública Municipal de Bela Vista","Municipal","Rua do Comércio, s/n","Centro","",""
"Belágua","Biblioteca Pública Municipal de Belágua","Municipal","","","",""
"Benedito Leite","Biblioteca Pública Municipal Benedito Leite","Municipal","Avenida Getúlio Vargas, s/n","Centro","(98) 3544-7159",""
"Bernardo do Mearim","Biblioteca Pública Municipal de Bernardo do Mearim","Municipal","Avenida Manuel Matias, s/n","Centro","",""
"Boa Vista do Gurupi","Biblioteca Pública Municipal","Municipal","Rua João Lisboa, 292","Centro","(98) 3322-1122",""
"Bom Jardim","Biblioteca Pública Municipal Professora Raimunda Bezerra ","Municipal","Rua Floriano Peixoto, s/n","Altodo","(98)98532-7422",""
"Bom Jesus das Selvas","Biblioteca Pública Municipal de Bom Jesus das Selvas","Municipal","Rua dos Jambreiros, s/n ","Centro","",""
"Bom Lugar","Biblioteca Pública Municipal Professora Luzia Reis ","Municipal","Rua São Caetano, s/n ","Centro","(99) 9127-5224",""
"Brejo","Biblioteca Farol da Educação Adolfo Vieira de Morais","Municipal","","","",""
"Brejo de Areia","Biblioteca Pública Municipal de Brejo de Areia ","Municipal","Rua Bento Cessario, s/n","Centro","(98)99160-5498","magnosouza116@hotmail.com"
"Buriti","Biblioteca Pública Municipal Professora Bernarda Barbosa de Sousa  ","Municipal","Avenida Coronel Lago Júnior, s/n","Centro ","(98) 8153-0792",""
"Buriti Bravo","Biblioteca Pública Municipal João Leocádio","Municipal","Praça José Costa Sobrinho, 23","Centro","",""
"Buriticupu","Biblioteca Pública Municipal Maria do Socorro Rocha Silva","Municipal","Avenida Castelo Branco","Centro ","(98)3664-6589","maurariky@outlook.com
"
"Buritirana","Biblioteca Pública Municipal Rumo ao Desenvolvimento","Municipal","Avenida Senador Lá Roque, 534 ","Centro","(98) 3533-1374 ","bibliotecamunicipal.burt@gmail.com "
"Cachoeira Grande","Biblioteca  Pública Municipal de Cachoeira Grande  ","Municipal","Rua Getulio Vargas, s/n","Centro ","",""
"Cajapió","Biblioteca Pública Municipal de Cajapió ","Municipal","Rua Manoel Mendonça, s/n","Centro","",""
"Cajari","Biblioteca Pública Municipal Betel ","Municipal","Rua Vitorino Freire, s/n","Centro","",""
"Campestre do Maranhão","Biblioteca Pública Municipal do Campestre do Maranhão","Municipal","Avenida JK, s/n","Centro","(99) 8819-6585",""
"Cândido Mendes","Biblioteca Pública Municipal de Cândido Mendes","Municipal","Praça Senenador Candido Mendes, s/n","Centro","",""
"Cantanhede","Biblioteca  Pública Municipal Enói Nogueira da Cruz","Municipal","Praça Paulo Rodrigues , s/n"," Centro","(98)3462 -1351","cultura@cantanhede.ma.gov.br
"
"Capinzal do Norte","Biblioteca Pública Municipal Maria Vilanir Mota","Municipal","Rua da Matriz, s/n","Centro","(99)99162-5528","marcossuendel@gmail.com"
"Carolina","Biblioteca Pública Municipal Adolfo Medeiros","Municipal","PraçaSantos Dumont, 200","Centro","(99)98201-0976","iroasilva@hotmail.com
"
"Carutapera","Biblioteca Pública Municipal de Carutapera","Municipal","Praça  Augusto Mozett , s/n","Centro","",""
"Caxias","Biblioteca Pública  Municipal Odylo Costa Filho ","Municipal","Rua 1 de Agosto, s/n ","Centro","(99) 8822-9822",""
"Cedral","Biblioteca Pública Municipal Gonçalves Dias","Municipal","Praça Governador Newton Bello, 460","Centro"," (98) 98458-9371","marialcmoreira@hotmail.com
"
"Central do Maranhão","Biblioteca Pública Municipal Professor Paulo Freire ","Municipal","Rua Roseana Sarney, s/n ","Centro","(98) 98214-0169","seceducacao@hotmail.com
"
"Centro do Guilherme","Biblioteca Pública Municipal Gonçalves Dias","Municipal","Rua da Colônia, s/n","Centro","(98) 3323-1235",""
"Centro Novo do Maranhão","Biblioteca Pública Municipal  Mário de Andrade","Municipal","Rua do Comércio, s/n","Centro","(98) 98145-0951","ninenamar@hotmail.com
"
"Chapadinha","Biblioteca Pública Municipal Oliveira Roma","Municipal","Rua Gustavo Barbosa, 412","Centro","(98) 98286-0163",""
"Codó","Biblioteca Pública Municipal Professor Fernando Carvalho","Municipal","Praça Alcebíades Silva, s/n","Centro","(99)98176-1455
","m.aparecidagomesdesousa@gmail.com
"
"Coelho Neto","Biblioteca Pública Municipal Getúlio Vargas","Municipal","Avenida Marcos Machado, s/n","Centro","",""
"Colinas","Biblioteca Pública Municipal de Colinas","Municipal","Travessa Delfino Coelho, s/n","Centro","(99) 3552-1158",""
"Davinópolis","Biblioteca Pública Municipal Professor Maria Edileuza Vieira","Municipal","Avenida Davi Michel, s/n","Centro","(99) 99108-2917","martinha_lima@hotmail.cpm"
"Duque Bacelar","Biblioteca Pública Municipal Fransquinha Leal","Municipal","Praça Vicente Vilar, s/n","Centro","",""
"Esperantinópolis","Biblioteca Pública Municipal Raimundo Carneiro Correa","Municipal","Rua 3 de Agosto, 133","Centro","(99) 3645-1184",""
"Estreito","Biblioteca Pública Municipal Professora Maria do Socorro Lima Dias","Municipal","Avenida Central, s/n","São Francisco","","sandila.carvalho@hotmail.com
"
