"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Água Clara","Biblioteca Pública Municipal Rui Aires de Freitas","Municipal","Rua Doutor Munir Thomé, 11","","",""
"Alcinópolis","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Maria Teodora de Freitas Nery, 352","Centro","(67)32601321","smed-alcinopolis@bol.com.br"
"Amambai","Biblioteca Pública Municipal Antônio Carlos Ferreira de Brito","Municipal","Rua Rui Barbosa, 3572","Centro","(67)3481-1573","semedamambai@yahoo.com"
"Anastácio","Biblioteca Pública Municipal Manuel Bandeira - Virtual","Municipal","Rua João Leite Ribeiro, s/n","Centro","","biblioteca.mun.manuelbandeira@gmail.com"
"Anaurilândia","Biblioteca Pública Municipal de Amarilândia -  Marilândia","Municipal","Avenida Brasil, 856","Centro","967)3445-1113","semece.anaurilandia@ual.com.br"
"Angélica","Biblioteca Pública Municipal Eurides Telis de Paula","Municipal","Rua Francisco Marcolino da Costa, s/n","","",""
"Antônio João","Biblioteca Pública Municipal Luzia Moreira dos Santos","Municipal","Rua Miguel Glanerc ,170","Vila Penzo","",""
"Aparecida do Taboado","Biblioteca Pública Municipal Washington Rodrigues de Mello","Municipal","Avenida Presidente Vargas, 4363","Centro","(67)3565-1421","josigerk@terra.com.br"
"Aquidauana","Biblioteca Pública Municipal Francisco Alves Corrêa","Municipal","Rua Teodoro Rondon, s/n","Centro","(67)3241-7941","bibliotecms@gmail.com"
"Aral Moreira","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Rua D. Pedro II, s/n","","",""
"Bandeirantes","Biblioteca Pública Municipal Francisco Antônio de Souza","Municipal","Rua Joaquim Murtinho, s/n","Centro","(67)3261-1425","veronicacs31@bol.com.br"
"Bataguassu","Biblioteca Pública Municipal Geni Romanini Businaro","Municipal","Avenida São Francisco de Assis, 389","jardim são Francisco","(67)3541-2122","nilzaprimo@bataguassu.ms.gov.br"
"Batayporã","Biblioteca Pública Municipal de Batayporã","Municipal","Avenida Brasil, 1509","Centro","",""
"Bela Vista","Biblioteca Pública Municipal de Bela Vista","Municipal","Avenida Conde de Porto Alegre, s/n","Centro","",""
"Bodoquena","Biblioteca Pública Municipal Marcolino Penajo Flores","Municipal","Rua Manoel Alves da Silva, 204","Centro","",""
"Bonito","Biblioteca Pública Municipal Simplício de Assis","Municipal","Rua Pérsio Schaman, s/n","Centro","(67)3255-2660","semed@bonito.ms.gov.br"
"Brasilândia","Biblioteca Municipal Professora Abadia dos  Santos ","Municipal","Praça Santa Maria ","Centro","(67)34611274","semec.bra@hotmail.com"
"Brasilândia","Biblioteca Pública Municipal Senador Ramez Tebet","Municipal","Praça da Bíblia, s/n","","",""
"Caarapó","Biblioteca Pública Municipal Doutor Camilo Hermelindo da Silva","Municipal","Avenida Duque de Caixias 697","Centro","(67)3453-3305","zildamarquezolo@gmail.com"
"Camapuã","Biblioteca Pública Municipal Professor Benedito Alves Bonfim","Municipal","Rua Campo Grande, 353","Centro","(67)3286-2303","educacao@camapua.ms.gov.br"
"Campo Grande","Biblioteca Pública Estadual Dr. Isaías Paim","Estadual","Avenida Fernando Corrêa da Costa, 559 - 2.º andar ","Centro","(67) 3316-9161 / (67) 3316-9177",""
"Não identificado","Biblioteca Pública Municipal Anna Luiza Prado Bastos","Municipal","Rua Francisco Cândido Xavier, s/n","Centro","(67)99215-9341","biblioteca@sectur.campogrande.ms.govbr"
"Caracol","Biblioteca Pública Municipal Caracol","Municipal","Avenida Limbido Ferreira Leite, s/n","Centro","",""
"Cassilândia","Biblioteca Pública Municipal Professor César Mazini","Municipal","Rua Pedro Pereira de Almeida, s/n","Centro","(67)3596-1457","bibliotecacassilandia35@gmail.com"
"Chapadão do Sul","Biblioteca Pública Municipal Chapadão do Sul","Municipal","Avenida 11, 802","Centro","(67)99967-3541","bibliotecapmchapadaodosul@hotmail.com"
"Corguinho","Biblioteca Pública Municipal Cristovão Ferreira","Municipal","Rua Quintino bocaiúva, 112","Centro","(67)3250-1215","semedcorguinho2017@gmail.com"
"Coronel Sapucaia","Biblioteca Pública Municipal Elpídio","Municipal","Rua Rachid Saldanha Derzi, 758","Centro","",""
"Corumbá","Biblioteca CEU Heloisa Urt","Municipal","Rua Marechal Deodoro,s/n","Jardim do Estados ","(67)3233-4661","bibliotecaceuheloisaurt@gmail.com"
"Corumbá","Biblioteca Pública Municipal Lobivar de Matos","Municipal","Rua Delmere, 1557","Centro","(67)3231-5757","kiase19@mail.com"
"Costa Rica","Biblioteca Pública Municipal Carlos Drummond de Andrade","Municipal","Rua José Pereira da Silva, 649","Centro","(67)3247-7077","turismo@costarica.ms.gov.br"
"Coxim","Biblioteca Pública Municipal Odilon Ferreira","Municipal","Rua Antonio de Albuquerque","Centro","(67)32911143","setorfinanceiro.smds@gmail.com"
"Deodápolis","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Dom Pedro II, s/n","Centro","",""
"Dois Irmãos do Buriti","Biblioteca Pública Municipal de Dois Irmãos do Buriti","Municipal","Rua Felícia Emiko Kawamura Sakitani, s/n","Jandira Moura","",""
"Douradina","Biblioteca Pública Municipal de Douradina","Municipal","Rua Afonso Pena, s/n","Centro","",""
"Dourados","Biblioteca Pública Municipal Vicente de Carvalho","Municipal","Rua Hilda Bergo Duarte, s/n","Centro","",""
"Eldorado","Biblioteca Pública Municipal Paulo Moisés de Oliveira","Municipal","Rua Tancredo Neves, 1191","Jardim das Palmeiras","",""
"Fátima do Sul","Biblioteca Pública Municipal  de Fátima do Sul","Municipal","Rua Rio Dourados , 951","Katira","",""
"Figueirão","Biblioteca Pública Municipal Professor Acioly de Souza Almeida","Municipal","Avenida Moisés Galvão, 1385","Centro","",""
"Glória de Dourados","Biblioteca Pública Municipal de Glória de Dourados","Municipal","Avenida Presidente Vargas, s/n","Centro","","educacao.gloria@gmail.com"
"Guia Lopes da Laguna","Biblioteca Pública Municipal de Guia Lopes da Laguna","Municipal","Praça Coronel Camisão, s/n","Centro","(67)3269-1805","semedgll@outlook.com"
"Iguatemi","Biblioteca Pública Municipal Marcílio Augusto Pinto","Municipal","Praça Marcílio Augusto Pinto, s/n","Centro","","educaçao@iguatemi.ms.gov.br"
"Inocência","Biblioteca Pública Municipal de Inocência","Municipal","Avenida Alexandre Batista, 1111","Jardim Bom Jesus","",""
"Itaporã","Biblioteca Pública Municipal Professor Cassiano Shirata","Municipal","Avenida São José, s/n","Centro","(67)3451-2069","gerenciadeeducacao.pmi@gmail.com"
"Itaquiraí","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Paulo Petri, 568","Centro","",""
"Ivinhema","Biblioteca Pública MunicipalCastro Alves","Municipal","Rua Francisco Pieretti, 22","Centro","",""
"Japorã","Biblioteca Pública Municipal Japorã","Municipal","Avenida Deputado Fernando Saldanha, s/n","Centro","",""
"Jaraguari","Biblioteca Pública Municipal Mário Xavier Cardoso","Municipal","Praça José Serafim Ribeiro, s/n","Centro","",""
"Jardim","Biblioteca Pública Municipal Rita Carmem Braga Lima","Municipal","Rua Tenente Coronel Juvêncio, 457","Centro","(67)3251-1507","biblioteca@jardim.ms.gov.br"
"Jateí","Biblioteca Pública Municipal Etelvino Mendes de Oliveira","Municipal","Rua Antônio Bernardo dos Santos, s/n","Centro","",""
"Juti","Biblioteca Pública Municipal Dirce Conceição de Lima Silva","Municipal","Avenida Sérgio Maciel,1260","Centro","",""
"Ladário","Biblioteca Pública Municipal Professor Severino Venâncio da Silva","Municipal","Rua Corumbá, s/n","Centro","",""
"Laguna Carapã","Biblioteca Pública Municipal Laguna Carapã","Municipal","Rua João Lourenço de Lima,746","Centro","",""
"Maracaju","Biblioteca Pública Municipal Professor Antônio de Paula Marques Costa","Municipal","Avenida Mário Correa, s/n","Centro","(67)3454-2569","cultura@maracaju.ms.gov"
"Miranda","Biblioteca Pública Municipal Dona Henriqueta Rebuá Siufi","Municipal","Rua Benjamin Constant, s/n","Centro","",""
"Mundo Novo","Biblioteca Pública Municipal Ednor de Castro","Municipal","Rua Voluntários da Pátria, s/n","Centro","",""
"Naviraí","Biblioteca Pública Municipal Dom Aquino Corrêa","Municipal","Rua Henrique Dias, 42","Centro","",""
"Nioaque","Biblioteca Pública Municipal Dário Pires Peixoto","Municipal","Avenida General Klinger, 733","Centro","",""
"Nova Alvorada do Sul","Biblioteca Pública Municipal Celso Mariano -  Adriano Garcia","Municipal","Praça Joaquim Bento, s/n","Jardim Eldorado","",""
"Nova Andradina","Biblioteca Pública Municipal Maria Batel Ortega","Municipal","Avenida Eurico Soares Andrade, 1820","Santa Casa","(67)3441-5956","semec@pmna.ms.gov"
"Novo Horizonte do Sul","Biblioteca Pública Municipal Novo Horizonte do Sul","Municipal","Avenida João Camargo Sobrinho, 600","Centro","",""
"Paranaíba","Biblioteca Pública Municipal Nancylta Salgueiro Dias","Municipal","Travessa 13 de Maio, 30","Centro","",""
"Paranhos","Biblioteca Pública Municipal Doutor Mitsuro Saito","Municipal","Avenida Marechal Dutra, 369","Centro","",""
"Pedro Gomes","Biblioteca Pública Municipal Carlos Henrique Schrader","Municipal","Rua Bela Vista, 45","Centro","",""
"Ponta Porã","Biblioteca Pública Municipal Doutor João Portela Freire","Municipal","Rua Antônio João, s/n","Centro","(67)3432-1680","bibliponta@hotmail.com"
"Porto Murtinho","Biblioteca Pública Municipal Amadeu Santos e Silva","Municipal","Avenida Laranjeiras, 264","Centro","",""
"Ribas do Rio Pardo","Biblioteca Pública Municipal Wilson Ricartes de Oliveira","Municipal","Avenida Euriliano Moura Brandão, 1279","Centro","",""
"Rio Brilhante","Biblioteca Pública Municipal Mário Correia da Costa","Municipal","Rua Athayde Nogueira, s/n","Centro","",""
"Rio Negro","Biblioteca Pública Municipal Professor Américo Rodrigues de Almeida","Municipal","Rua Atualapa Simões Divino,575","Centro","(67)3278-1130","culturarn@hotmail.com"
"Rio Verde de Mato Grosso","Biblioteca Pública Municipal Rio Verde de Mato Grosso","Municipal","Rua Barão do Rio Branco, 165","Centro","","cultura.rioverde@hotmail.com"
"Rochedo","Biblioteca Pública Municipal João Avelino","Municipal","Rua Mato Grosso, s/n","Centro","",""
"Santa Rita do Pardo","Biblioteca Pública Municipal Paulo Simões Braga","Municipal","Avenida Julião de Lima Maia, 1478","Centro","",""
"São Gabriel do Oeste","Biblioteca Pública Municipal","Municipal","Avenida Mato Grosso do Sul,1220","Centro","(67)32953977","secdet@saogabriel.ms.gov.br"
"São Gabriel do Oeste","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua curiaca,842","Jardim Gramado ","(67)3295-5424","secdet@saogabriel.ms.gov.br"
"Selvíria","Biblioteca Pública Municipal Olavo Bilac","Municipal","Rua Gabriel Cassiano Nascimento, 792","Centro","",""
"Sete Quedas","Biblioteca Pública Municipal Torres Fontana","Municipal","Rua Monteiro Lobato, 749","Centro","",""
"Sidrolândia","Biblioteca Pública Municipal Gumercinto Pereira de Souza","Municipal","Rua Santa Catarina, 890","Centro","(67)99610-0185","bizababa74@gmail.com"
"Sonora","Biblioteca Pública Municipal Dom Pedro I","Municipal","Rua das Acácias, 77","Centro","(67)3254-1008","gemedsonora@gmail.com"
"Tacuru","Biblioteca Pública Municipal de Tacuru","Municipal","Rua Máximo Giacomo Destefani","Centro","(67)3417-1434","prefeitura@taucuru.ms.gov.br"
"Taquarussu","Biblioteca Pública Municipal Justina Souza Rocha","Municipal","Rua Professora Nair Rodrigues Nogueira, 76","Centro","",""
"Terenos","Biblioteca Pública Municipal de Terenos","Municipal","Rua Isaac Cardoso, s/n","Centro","(67)3246-1545","bibliotecamunicipalterenos@gmail.com"
"Três Lagoas","Biblioteca Pública Municipal de Três Lagoas","Municipal","Rua Isaac Cardoso, s/n","Centro","",""
"Não identificado","Biblioteca Pública Municipal Doutor Rosário Congro","Municipal","Rua Alexandre Costa,241","Centro","(67)3929-1039","fabiana.gomes@treslagoas.ms.gov.br"
"Vicentina","Biblioteca Pública Municipal  São Lucas","Municipal","Rua Rainha dos Apóstolos, 914","Centro","",""
