"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Acorizal","Biblioteca Pública Municipal Professora Elzita Heimé da Silva","Municipal","Rua Monteiro Sobrinho, 227","Nova Acorizal","(65) 3353-1116","katik.figueiredo@gmail.com"
"Água Boa","Biblioteca Pública Municipal Érico Veríssimo","Municipal","Rua 9, s/n- esquina com  Praça Cultural","Centro","(66) 3468-1909","clausineia@hotmail.com
veravolpi@hotmail.com"
"Alta Floresta","Biblioteca Pública Municipal Doutor Rui Ramos","Municipal","Avenida Ludorico, s/n","Centro","(66)  9239-0813","trindamarcia@hotmail.com"
"Alto Araguaia","Biblioteca Pública Municipal Maria Prudenciana Cajango","Municipal","Rua Rui Barbosa, 92","Centro","(66) 9903-0613","eunicewalter@yahoo.com.br"
"Alto Boa Vista","Biblioteca Pública Municipal Guimarães Rosa","Municipal","Avenida Moises Dornelles, s/n","Bandeirantes","(66) 3539-1230","educaabb@yahoo.com.br"
"Alto Garças","Biblioteca Pública Municipal de Alto Garças","Municipal","Rua 7 de setembro, s/n","Centro","(66) 3471-2248","secretariaesporte.ag@hotmail.com"
"Alto Paraguai","Biblioteca Pública Municipal Vicentino Ferreira Lemes","Municipal","Rua 15 de Novembro, s/n","Centro","(65) 3396-1466","semecaltoparaguai@hotmail.com;
esmecaltoparaguaia@gmail.com"
"Alto Taquari","Biblioteca Pública Municipal de Alto Taquari","Municipal","Avenida Macario Subtil de Oliveira","Centro","(66) 3496-1443","feRuaenfermeira@hotmail.com"
"Apiacás","Biblioteca Pública Municipal Hércule Florence","Municipal","Avenida Brasil, 1.059","Bom Jesus","(66) 3593-1669","germano.fabio@bool.com.br"
"Araguaiana","Biblioteca Pública Municipal Antídia Coutinho","Municipal","Rua José da Luz, 109","Centro","(66) 3499-1347","educaraguaiana@gmail.com"
"Araguainha","Biblioteca Pública Municipal Fonte de Luz","Municipal","Avenida Couto Magalhães, s/n","Centro","(66) 3476-1157","sec.educ.araguainha.@gmail.com"
"Araputanga","Biblioteca Pública Municipal 23 de Maio","Municipal","Rua Sebastião Fernandes de Oliveira, s/n","Centro","(65) 3261-2869","semec@araputanga.mt.gov.br"
"Arenápolis","Biblioteca Pública Municipal de Arenapólis","Municipal","Avenida Castelo Branco, 1.226","Vila Nova","(65) 3343-1369","ubppoloarenapolis@hotmail.com"
"Aripuanã","Biblioteca Pública Municipal Érico Veríssimo","Municipal","Praça São Francisco de Assis, s/n","Centro","(66) 3565-2862","gemagalvan@hotmail.com"
"Barão de Melgaço","Biblioteca Pública Municipal Barão de Melgaço","Municipal","Avenida Totopaz, s/n","Centro","(65) 3331-1179","sec.educacao@baraodemelgaco.mt.gov.br"
"Barra do Bugres","Biblioteca Pública Municipal Alfredo José da Silva","Municipal","Josino Brado s/n","Centro - OAB","(65) 3361-2132","ivonedarocha@yahoo.com.br"
"Barra do Garças","Biblioteca Pública Municipal Senador Valdon Varjão","Municipal","Rua Carajas, 522 - Bloco 2","Centro","(66) 3402-2000","educ.municipal@gmail.com"
"Bom Jesus do Araguaia","Biblioteca Pública Municipal Professora Helena Rodrigues da Silva","Municipal","Rua José Omar, s/n","Centro","(66) 3538-1202","sandrobja123@gmail.com"
"Brasnorte","Biblioteca Pública Municipal Rubens Mendonça","Municipal","Guatemi, 609","Centro","(66) 3592-1821","dinoreis40@hotmail.com"
"Cáceres","Biblioteca Pública Municipal Professora Leonidia Avelino Moraes","Municipal","Rua Padre Cassimiro, 426","Centro","(65) 3223-1054","bpmcaceres@hotmail.com"
"Campinápolis","Biblioteca Pública Municipal Doutor Sebastião Alves Júnior","Municipal","Erodite, s/n","Centro","(66) 3437-1115","biblioteca.campinapolis@hotmail.com"
"Campo Novo do Parecis","Biblioteca Pública Municipal de Campo Novo do Parecis","Municipal","Rua São Paulo, 846 N E","Centro","(65) 3904-2128","biblioteca-cnp@hotmail.com"
"Campo Verde","Biblioteca Pública Municipal Dona Maria Carlosso Sin","Municipal","Avenida Brasilia, 1010","Centro","(66) 3419-4005","zenaideenro@hotmail.com"
"Campos de Júlio","Biblioteca Pública Municipal Cecilia Meireles","Municipal","Rua Parana, 50 W","Centro","(65) 3387-1650","suzanabarbiero@hotmail.com"
"Canabrava do Norte","Biblioteca Pública Municipal Olair Alves da Silva","Municipal","Rua Antonio Bosaibo, s/n","Centro","(66) 8422-2726","ailton2oliveira@hotmail.com"
"Canarana","Biblioteca Pública Municipal Castro Alves","Municipal","Rua Miraguai, 228","Centro","(66) 8119-8356","semec-mt@hotmail.com"
"Carlinda","Biblioteca Pública Municipal Carlinda","Municipal","Avenida Tancredo Neves, s/n","Centro","(66) 3525-1544","figueiravalter@hotmail.com"
"Castanheira","Biblioteca Pública Municipal Castro Alves","Municipal","Rua dos Trabalhadores, s/n","Santa Rita","(66) 3581-1166","sec.01.caste@gmail.com"
"Chapada dos Guimarães","Biblioteca Pública Municipal Irmã Maria Fidelis Roriz","Municipal","Rua das Flores, s/n","Centro","(65) 9909-2361","esme2013silvia@outlook.com"
"Cláudia","Biblioteca Pública Municipal Tancredo Neves","Municipal","Rua Ferreira Mendes, 1.323","Centro","(66) 3546-2143","vanialodrissine@hotmail.com"
"Cocalinho","Biblioteca Pública Municipal Sebastiana Quirino Falone","Municipal","Avenida Araguaia, s/n","Centro","(66) 8131-9085","marciomoreno.007@hotmail.com"
"Colíder","Biblioteca Pública Municipal Farol do Saber","Municipal","Rua Xingu, 25","Centro","(66) 3541-4508","fabiofulaneto@hotmail.com"
"Colniza","Biblioteca Pública Municipal Dante de Oliveira","Municipal","Avenida 2000, 2.492","Centro","(66) 3571-2581","ruthsouzaa@hotmail.com;bdantecolniza@hotmail.com"
"Comodoro","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Rua José Laurindo Camilo, 353-S","Nova Vacaria","(65) 3283-2667","vanipenido@hotmail.com"
"Confresa","Biblioteca Pública Municipal Professora Nair Barbosa de Souza","Municipal","Rua Juscelino Kubitschek","Centro","(66) 8420-2321","ary.pinheiro.reis@hotmail.com"
"Conquista D'Oeste","Biblioteca Pública Municipal Rachel de Queiroz","Municipal","Avenida das Acácias, s/n","Centro","(65) 3265-1000","seconq@hotmail.com"
