"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Água Branca","Biblioteca Pública Municipal de Água Branca","Municipal","Rua João Batista da Silva, 13","Centro","",""
"Aguiar","Biblioteca Pública Municipal","Municipal","","Centro","",""
"Alagoa Grande","Biblioteca Pública Municipal  Nemesio Regis","Municipal","","Centro","",""
"Alagoa Nova","Biblioteca Pública Municipal Professora Analice Caldas","Municipal","Rua João Pessoa, 261","Centro","(83) 3273-2006",""
"Alagoinha","Biblioteca Pública Municipal José Rodrigues de Carvalho","Municipal","Praça Alfredo Moura, s/n","Centro","(83) 3365-1371","antoniopaulo.an@gmail.com"
"Alcantil","Biblioteca Pública Municipal Cristina Inê de Oliveira","Municipal","","Centro","(83) 8858-6513",""
"Alhandra","Biblioteca Pública Municipal Oton Galdino da Silva","Municipal","Rua João Pessoa, 457","Centro","",""
"Aparecida","Biblioteca Pública Municipal de Aparecida","Municipal","Rua Josefa Cassimiro de Almeida, 44","Centro","",""
"Araçagi","Biblioteca Pública Municipal Severina de Souza Melo","Municipal","Praça Macrina Marajó, s/n","Centro","",""
"Arara","Biblioteca Pública Municipal","Municipal","Rua Epitácio Pessoa, s/n","Centro","",""
"Araruna","Biblioteca Pública Municipal Pereira da Silva","Municipal","Praça Rio Branco, s/n","Centro","",""
"Areia","Biblioteca Pública Municipal Rodrigues de Aquino","Municipal","Rua Manoel da Silva, s/n 1.º andar","Centro","",""
"Areia de Baraúnas","Biblioteca Pública Municipal Otho Victor","Municipal","Avenida Valdecy Sales, 282","Centro","",""
"Areial","Biblioteca Pública Municipal Huerto Eleuterio Pereira de Luna ","Municipal","Rua São José, 804","Centro","(83) 3368-1331","areialeducacao@yahoo.com.br"
"Aroeiras","Biblioteca Pública Municipal José Resende de Melo","Municipal","Rua Antônio Gonçalves, 52","Centro","(83) 8123-7787","srggravacoes@ig.com.br"
"Assunção","Biblioteca Pública Municipal João Evangelista Correia","Municipal","Rua Tereza Balduíno da Nóbrega, 68","Centro","(83) 3466-1079",""
"Baía da Traição","Biblioteca Pública Municipal Tancredo de Almeida Neves","Municipal","Rua Osvaldo Trigueiro, 285","Centro","(83) 8898-6138",""
"Bananeiras","Biblioteca Pública Municipal Doutor José Antônio Aragão","Municipal","Rua Coronel Antônio Pessoa, 389","Centro","(83) 3367-1516",""
"Baraúna","Biblioteca Pública Municipal de Baraúna","Municipal","Rua Getúlio Vargas, s/n","","(83) 3633-1186",""
"Barra de Santa Rosa","Biblioteca Pública Municipal de Barra de Santa Rosa","Municipal","Rua 08 de maio, s/n","","(83) 3376-1040","pmbsr.bb@hotmail.com"
"Barra de Santana","Biblioteca Pública Municipal Professora Santana Costa Gonçalves","Municipal","Rua João Enéas Barreto, s/n","","",""
"Barra de São Miguel","Biblioteca Pública Municipal Luiz Cândido Casteliano","Municipal","Rua João Batista dos Santos, s/n","","(83) 3358-1204","secepsn@hotmail.com"
"Bayeux","Biblioteca Pública Municipal Virginius da Gama e Melo","Municipal","Avenida Liberdade, s/n","Centro","(83) 3232-2877",""
"Belém","Biblioteca Pública Municipal de Belem","Municipal","Praça Nossa Senhora da Conceição, s/n","","(83) 3261-2425","bibliotecamariaguedesac@hotmail.com"
"Belém do Brejo do Cruz","Biblioteca Pública de Belém do Brejo do Cruz","Municipal","","","",""
"Bernardino Batista","Biblioteca Pública Municipal Professora Maria Zélia Egídio","Municipal","Rua Bernardino José Egídio, s/n","Centro","(83) 9670-1300","raimundovn@gmail.com"
"Boa Ventura","Biblioteca Pública Nacional","Municipal","Rua Raimundo Figueiredo Soares, s/n","","",""
"Boa Vista","Biblioteca Pública Municipal Simone Ribeiro Leito","Municipal","Rua José da Silva, s/n","","(83) 3313-1100",""
"Bom Jesus","Biblioteca Pública Municipal Vicente Gonçalves Moreira","Municipal","Rua 5 de Novembro, 2","Centro","",""
"Bom Sucesso","Biblioteca Pública Municipal Maria Faustina Filho","Municipal","Rua Antonio Alminio, s/n","","(83) 3448-1007","auzeniananias@hotmail.com"
"Bonito de Santa Fé","Bibliotec Pública Municipal de Bonito de Santa Fé","Municipal ","","","",""
"Boqueirão","Biblioteca Pública Municipal Doutor José Oliveira Pinto","Municipal","Rua Nossa Senhora do Desterro, 1010","Bairro Novo","",""
"Borborema","Biblioteca Pública Municipal Maria Lucy de Paula Ribeiro","Municipal","Avenida Pedro Moreno Gondim, s/n","","(83) 3360-1052","severinobarbosa2013@hotmail.com"
"Brejo do Cruz","Biblioteca Pública Municipal José Olímpio Maia","Municipal","Rua Solon de Lucena, 20","Centro","",""
"Brejo dos Santos","Biblioteca Pública Municipal Valmy Almeida de Souza","Municipal","Rua Apolônio Pereira, s/n","Centro","(83) 3440-1213",""
"Caaporã","Biblioteca Pública Municipal Etelvina Mariano de Oliveira","Municipal","Rua Salomão Veloso, s/n","Centro","",""
"Cabaceiras","Biblioteca Pública Municipal de Cabaceiras","Municipal","Avenida 4 de junho, 238","Centro","(83) 3356-1165",""
"Cabedelo","Biblioteca Pública Municipal Aderbal Piragibe","Municipal","Rua Ismael Farias, s/n","Centro","(83) 3250-3101",""
"Cachoeira dos Índios","Biblioteca Pública Municipal José de Souza Bandeira","Municipal","Avenida Governador João Agripino, 333","Centro","(83) 3558-1050","joseanne@hotmail.com"
"Cacimba de Areia","Biblioteca Pública Municipal Cacimba de Areia","Municipal","Rua Capitão Silvino Xavier, s/n","Centro","(83) 9611-1497",""
"Cacimba de Dentro","Biblioteca Pública Municipal Antonio Guilherme da Silva","Municipal","Rua Presidente João Pessoa, 62","Centro","",""
"Cacimbas","Biblioteca Pública Municipal de Cacimbas","Municipal","Rua São José, s/n","Centro","8334761001",""
"Caiçara","Biblioteca Pública Municipal Pedro Alves de Menezes","Municipal","Rua Francisco Carneiro, s/n","Centro","8333701473",""
"Cajazeiras","Biblioteca Pública Municipal Doutor Castro Pinto","Municipal","Avenida Padre Rolim, s/n","Centro","8335313714",""
"Cajazeirinhas","Biblioteca Pública Municipal Professora Maria da Soledade de Assis Freitas","Municipal","Rua Admilson Leite de Almeida, s/n","Centro","8334371044",""
"Caldas Brandão","Biblioteca Pública Municipal Professor Ednaldo Rangel de Paiva","Municipal","Travessa Maria Viegas de Paiva, 65","Centro","8399514038",""
"Camalaú","Biblioteca Pública Municipal Francisco Chaves Ventura","Municipal","","","",""
"Campina Grande","Biblioteca Pública Municipal Félix Araújo","Municipal","Rua Maciel Pinheiro, s/n","Centro","8399722853",""
"Caraúbas","Biblioteca Pública Municipal Desembargador Luiz Manoel Fernandes","Municipal","Avenida Conego Bandeira, 16","Centro","",""
"Catingueira","Biblioteca Pública Municipal Inocêncio Leite Ferreira","Municipal","Rua Inácio Félix de Oliveira, s/n","Centro","8334271227",""
"Catolé do Rocha","Biblioteca Pública Municipal Augusto Maciel","Municipal","Rua Fundador Rocha, s/n","Centro","",""
"Caturité","Biblioteca Pública Municipal José de Jesus Cavalca","Municipal","Avenida João Queiroz, s/n","Centro","(83) 3345-1072",""
"Conceição","Biblioteca Pública Municipal França Leite","Municipal","Centro Administrativo Integrado Governador Wilson","São José","8534532486",""
"Condado","Biblioteca Zequiel Oliveira Machado","Municipal","Rua Padre Amancio Leite, s/n","Centro","",""
"Conde","Biblioteca Pública Municipal Rodolfo Augusto de Athayde","Municipal","Rua General Perouze, 137","Centro","",""
"Congo","Biblioteca Pública Municipal do Congo","Municipal","Rua Ministro José Américo, s/n","Centro","8333591100",""
