"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Abaetetuba","Biblioteca Pública Municipal Miguellina Bitencourt de Araújo","Municipal","Avenida São Pedro II, S/N, Abaetetuba, Pará","Centro","(91)99363-0899","alessandra02rocha@hotmail.com"
"Não Identificado","Biblioteca Pública do CEU das Artes","Municipal","Avenida Hildo Tavares Carvalho, s/n, Abaetetuba, Pará","São Sebastião","(91) 9160-6701 / (91) 8273-9902/ (91) 9198-6721 / (91) 8246-4611","jorgesantos58@yahoo.com"
"Abel Figueiredo","Biblioteca Pública Municipal Estudante Adenilza Conceição da Silva","Municipal","Travessa São Jorge,  Bairro, s/n  Abel Figueiredo Pará","Centro","(94)99215-3238","erlima@hotmail.com"
"Acará","Biblioteca Pública Municipal Floriano Paiva","Municipal","P.A 252, KM 01,Acará, Pará","Alegria","(91)98754-4060",""
"Afuá","Biblioteca Pública Municipal  Professora Belkiss Santos","Municipal","Tv. Quintino Bocaiúva, s/n Afuá/PA","Centro","(91)99171-0299","família.familia.deus@gmail.com"
"Água Azul do Norte","Biblioteca Pública Municipal Cora Coralina","Municipal","Avenida Lago Azul, s/n Àgua Azul do Norte, Pará","Centro","(94)991337-8374",""
"Alenquer","Biblioteca publica Municipal odineia Guimarães","Municipal","Travessa Antônio Mesquita de Souza, s/n","Centro","(93)99133-2117","joaoalenquer@gmail.com"
"Almeirim","Biblioteca Pública Municipal Rui Barbosa","Municipal","Travessa Chicaia, S/N ,ALMEIRIM PARÁ","Centro","(93)98122-0417",""
"Altamira","Biblioteca Pública Municipal Doris Bulamarqui de Miranda","Municipal","Rua das Palmeiras, s/n Altamira, Pará ","Uirapuru","(93)3515-7382",""
"Ananindeua","Biblioteca Pública Municipal ProfessoraTerezinha Gueiros","Municipal","Rua Magalhães, N26, Antiga Rua Jardim Esmeralda. Ananindeua. Pará","Guanabara","(91)98159-9345","josgarccia@yahoo.com.br"
"Augusto Corrêa","Biblioteca Pública Municipal Antonio Coutinho de Campos","Municipal","Rua Manoel AvelinoAlves, N.232, Augusto Corrêa, Pará","Santa Cruz","(91)98452-8872","bibliotecapacc@hotmail.com"
"Aurora do Pará","Biblioteca Pública Municipal João Paulo II","Municipal","Rua Boa Vista Bairro Aparecida s/n. Aurora do Pará ","Centro","(91)99212-2513","ivanialice46@gmail.com"
"Bagre","Biblioteca Pública Municipal Edevalda Ferreira Pantoja ","Municipal","Avenida barão do Rio Branco, 544","Centro","(91) 99173-8566",""
"Baião","Biblioteca Pública Municipal Professora Leontina Nazaré Couto Correia","Municipal","Dois de Novembro, s/n Centro, Baião, Pará ","Centro","(91)99615-4697","ivanarochasantos@gmail.com"
"Bannach","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Antonio solé, s/n centro, Bannach, Pará","Centro","(94)99156-3900",""
"Barcarena","Biblioteca Pública Municipal Doutor Firmino Cardoso","Municipal","Travessa da Matriz, s/n","Emerencio","(91)99261-9368","alfaia.eliane@gmail.com"
"Belém","Biblioteca Pública Estadual Arthur Viana","Estadual","Avenida Gentil Bittencourt, 650","","(91) 3202-4332","gpav@fcptn.pa.gov.br"
"Belém","Biblioteca Pública Municipal Avertano Rocha","Municipal","Rua Manoel Barata, N80, Distrito Icoaraci - Belém - Pará ","Cruzeiro","(91)98883-6253","bpmar2015@gmail.com"
"Não Identificado","Biblioteca Pública Municipal Maria Lúcia Medeiros","Municipal","Tv . Cel. José Mota - Distrito de  Mosquiero, Belém - PA","Vila","(91)98883-6253","bpmar2015@gmail.com"
"Não Identificado","Biblioteca Pública Estadual Arthur Viana","Estadual","Avenida Gentil Bittencourt, 650, Bairro nazaré ","Nazaré","(91)99609-1898","socorro.baia@fcp.pa.gov.br"
"Belterra","Biblioteca Pública Chardval Moura Pantoja ","Municipal","Vila Americana, s/n Centro, Belterra, Pará ","Centro","(92)99127-0252","navarromichaelc3@gmail.com"
"Benevides","Biblioteca Pública Municipal","Municipal","Rua da Constituição, s/n Benevides/ Pará","Centro","","semjuv@benevides.pa.gov.br"
"Bom Jesus do Tocantins","Biblioteca Pública Municipal Castro Alves","Municipal","Tv. Manoel Viagim s/n,Bom jesus do Tocantins - Pará","Centro","(94)99185-4027","bomjesusdotocantins@hotmail.com"
"Bonito","Biblioteca Pública Municipal Professora Carime Soraya Correa Assad","Municipal","Avenida charles Assad, s/n Bairro Centro ","Centro","(91)98028-5269","cleomoura587@yahoo.com.br "
"Não Identificado","Biblioteca Pública Municipal Professor Antonio Zacarias Venâncio de Souza ","Municipal","Rua Padre Angelo de Bernades - Vila Santo Antonio do Camaru ","Centro","(91)98256-5180","crys.sof18@gmail.com"
"Bragança","Biblioteca Pública Municipal de Castro e Souza ","Municipal","Avenida Nazareno Ferreira, s/n, Bairro Centro, Bragança, Pará ","Centro","(91)999021884","cassia07@yahoo.com.br"
"Brasil Novo","Biblioteca Pública Municipal Presidente Médici ","Municipal","rua Duque de caixias, 1054","Centro","(93)991079526","sandriahubner2017@gmail.com"
"Breu Branco","BIBLIOTECA PÚBLICA MUNICIPAL PROFESSORA ENILZA  IRACI SOUZA BARBOSA ","Municipal","Avenida Belém, s/n","Centro","(94)99661-5225","suelisoares56@yahoo.com.br"
"Breves","Biblioteca Pública Municipal Eustórgio Miranda","Municipal","Rua Duque de Caxias, 1841","Centro","(91)98914-8517","elians.dias@yahoo.com.br"
"Bujaru","Biblioteca Pública Municipal Veríssimo de Paula Trindade","Municipal","Avenida Beira-Mar, N38","CENTRO","(91)99601-7768","zenasantos75@hotmail.com"
"Cachoeira do Arari","Biblioteca Pública Municipal Dr Orlando Dias Vieira ","Municipal","Travessa Doutor Lélio Silva, 130","Centro","(91)98504-4354/98424-8099",""
"Não Identificado","Biblioteca Pública Municipal Joaquim Felesmino de Almeida ","Municipal","Rua Espirito Santo, s/n ","Centro","(91)36582105",""
"Cachoeira do Piriá","Biblioteca Pública Municipal Professora Dica","Municipal","Praça Principal, s/n","Centro","(91) 3447-1131 ","luisfernandogf85@gmail.com"
"Camaru do Norte ","Não há informações sobre biblioteca pública nesse município.","","","","",""
"Cametá","Biblioteca Pública Municipal de Bráulio de Jesus Mendoça ","Municipal","Rua Bitencourt, s/n ","Centro","(91)991973670",""
"Capanema","Biblioteca Pública Municipal de Tauari","Municipal","Avenida Frederico Fernandes, s/n","Tauari","9132277678",""
"Não Identificado","Biblioteca Pública Municipal de Capanema","Municipal","Travessa Dom Pedro ll , Alameda Odilon Pontes s/n ","Centro","(91)98186-0039","capanema.pa.secult@gmail.com"
"Capitão Poço","Biblioteca Pública Municipal Jarbas Passarinho","Municipal","Avenida Moura Carvalho, s/n","Centro","9132566061","elmaaguiar02@gmail.com"
"Castanhal","Biblioteca Pública Municipal Clóvis Lameira","Municipal","Avenida Barão do Rio Branco, s/n","Apeú","",""
"Não Identificado","Biblioteca Pública Municipal Jarbas Passarinho","Municipal","Rua Antonio Lemos, n 749","CENTRO","(91)37217309/98828-9894","bibliotecajarbaspassarinho1971@gmail.com"
"Colares","Biblioteca Pública Municipal Professor Geminiano Cardoso","Municipal","Tv. Marechal Deodoro da Fonseca, s/n ","Centro","(91)98236-0744/(91)3744-1322","mariadorosarimonteiro1961@gmail.com"
"Concórdia do Pará","Biblioteca Pública Municipal de Concórdia do Pará","Municipal","Avenida Marechal Deodoro da Fonseca, s/n","Centro","(91)99305-2815","lise_pa@hotmail.com"
"Curianópolis","Não há informações sobre biblioteca pública nesse município.","","","","",""
"Curralinho","Biblioteca Pública Municipal Jorge Gomes de Carvalho","Municipal","Avenida Floriano Peixoto, s/n","Centro","(91)99394-5453","mic.evandro@hotmail.com"
"Curuá","Biblioteca Pública Municipal Maria das Graças Lopes","Municipal","Rua 3 de Dezembro , s/n Santa Terezinha , Curuá, Pará ","Santa Terezinha","(93)99138-8630","geanecurua@gmail.com"
"Curuçá","Biblioteca Pública Municipal Oscar Araujo","Municipal","Presidente vargas, Travessa Tiradentes, s/n  ","Centro","",""
"Dom Eliseu","Biblioteca Pública Municipal Frederico Gomes Diaz","Municipal","Avenida Juscelino Kubitschek, s/n","Centro","(94)98156-3510","bmunicipal2@gmail.com"
"Faro","Biblioteca Pública Municipal Ineli Maria dos Santos Souza","Municipal","Avenida Nossa Senhora das Graças, s/n","Distrito Nova Maracanã","",""
"Floresta do Araguaia","Biblioteca Pública Municipal Padre Valentin Fagundes de Menezes","Municipal","Rua 2, s/n","Centro","(94)98116-8472 / 984141728","eumartins79@gmail.com"
"Garrafão do Norte","Biblioteca Pública Municipal Severino Simplicio de Carvalho","Municipal","Avenida Terezinha Saraiva, s/n","Centro","",""
"Goianésia do Pará","Biblioteca Pública Municipal Eneida de Moraes","Municipal","Avenida Tancredo Neves, Ginásio Pliesportivo,","Centro","(94)99176-0859","klindomar@yahoo.com.br "
"Gurupá","Biblioteca Pública Municipal Professora Angelica de Jesus Souza","Municipal","Avenida São Benedito, s/n","Centro","(91)99824-9649","cacotins@hotmail.com"
"Igarapé-Açu","Biblioteca Pública Municipal Professor Moraes ","Municipal","Avenida Duque de Caxias, 3979","Centro","(91)981276456","odair-igassu@hotmail.com"
"Inhangapi","Biblioteca Pública Municipal de Inhangapi","Municipal","Professor Encarnação, s/n ","CENTRO","(91)984399071","edlcita@hotmail.com"
"Ipixuna do Pará","Biblioteca Pública Municipal José Martins da Cunha ","Municipal","Tv. Padre José de Anchieta, s/n ","Centro","(91)98439-9071",""
"Irituia","Biblioteca Pública Municipal Padre Antônio Melo Costa","Municipal","Avenida Júlio Ribeiro Tavares, 21","Centro","(91)98825-7258","fabyennereis@gmail.com"
"Itaituba","Biblioteca municipal Rui Barbosa ","Municipal","Avenida 14 de Julho, s/n","Setor Administrativo","(94)996650-0446",""
"Itupiranga","Biblioteca Pública Municipal de Itupiranga","Municipal","Avenida 14 de Julho, s/n","Setor Administrativo","",""
"Jacundá","Biblioteca Pública Municipal Inácio Pinto","Municipal","Rua Inácio Pinto, s/n","Centro","(94)99141-1975",""
"Não Identificado","Biblioteca Pública do CEU das Artes","Municipal","","Santa Rita","",""
"Juruti","Biblioteca Pública Municipal Manoel Marinho","Municipal","Tv rui barbosa ,622 - juruti/pa","Centro","(93)99126-5263",""
"Limoeiro do Ajuru","Biblioteca Pública Municipal de Limoeiro do Ajuru","Municipal","Rua A. Nilo Faial, s/n","Centro","",""
"Mãe do Rio","Biblioteca Pública Municipal Irmã Raimunda Dorilene Pinheiro Pereira","Municipal","Avenida Presidente Castelo Branco,  N305, Mãe do Rio","São Sebastião","(91)98180-2360","bibliotecapublica.maedorio@gmail.com "
"Marabá","Biblioteca Pública Municipal Orlando Lima Lobo","Municipal","Rua 5 de Abril, s/n","Centro","(94)99127-6083","evisilvalima@gmail.com"
"Maracanã","Biblioteca Pública Municipal Laércio Barbalho","Municipal","Avenida Geraldo Manso Palmeira, s/n","Campina","9181402377",""
"Marapanim","Biblioteca Pública Municipal Abílio Neves","Municipal","João Alfredo s/n","Centro","",""
"Marituba","Biblioteca Pública Municipal Professora Maria Luzia Rabelo Freire","Municipal","Rua Raimundo Santana, s/n ","Centro","",""
"Melgaço","Biblioteca Pública Municipal Américo Brasil","Municipal","Avenida 31 de Março, 84","Centro","",""
"Mocajuba","Biblioteca Pública Municipal Rui Barbosa","Municipal","Praça do Estudante, s/n","Centro","(91)98209-4942","marialuciete@yahoo.com.br"
"Moju","Biblioteca Pública Municipal Tancredo de Almeida Neves","Municipal","Avenida das Palmeiras, s/n","Centro","9188111509",""
"Mojuí dos Campos","Não há informações sobre biblioteca pública nesse município.","","","","",""
"Muaná","Biblioteca Pública Municipal Dr. José Coriolando da Silveira ","Municipal","Rua Coronel Rodrigo Lopes de Azevedo - Muaná/PA","Centro","(91)99177-1321","m.paula1@hotmail.com"
"Nova Esperança do Piriá","Biblioteca Municipal Mauro Ferreira  ","Municipal","Avenida 27 de Dezembro, s/n - Nova Esperança do Piriá","Centro","(91)98527-5006","bibmauroferreira@gmail.com"
"Nova Timboteua","Biblioteca Pública Municipal João de Castro Filho","Municipal","Rua Largo São Francisco, s/n ","Centro","",""
"Novo Repartimento","Biblioteca Pública Municipal Maria de Fátima Lima","Municipal","RUA BEM-TE-VI, QUADRA 25, LOTE18","Uirapuru","(94)99281-4765","luanapereirasilvasantana@gmail.com"
"Óbidos","Biblioteca Pública Municipal","Municipal","Rua Idelfonso Guimarães, s/n","Centro","",""
"Oeiras do Pará","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Nossa Senhora da Assunçao s/n ","Centro","",""
"Oriximiná","Biblioteca Pública Municipal Enéas Cavalcante ","Municipal","Rua Lauro Sodré ","Santissimo","(93)99107-5081","claudenesouza@gmail.com"
"Ourém","Biblioteca Pública Municipal Castro Alves","Municipal","Rua Hermenegildo Alves, 341","Centro","(91)98523-7540",""
"Ourilândia do Norte","Biblioteca Pública Municipal José de Alencar","Municipal","Rua Piauí, s/n","Novo Horizonte","(94)99146-2637","marlybatistareis@gmail.com"
"Pacajá","Biblioteca Pública Municipal Júlia Meireles Pereira","Municipal","Rua Inês Soares, s/n ","Centro","(91)99223-8470","iranyfelix9223@gmail.com"
"Paragominas","Biblioteca Pública Municipal Welton Marques Gonzaga ","Municipal","Avenida Presidente Vargas ","Centro","(91)98320-5761","secultpgm@hotmail.com"
"Parauapebas","Biblioteca Pública Municipal Hernani Guimarães Teixeira ","Municipal","Rua D, Quadra. 45 Lote 12","Cidade Nova","",""
"Peixe-Boi","Biblioteca Pública Municipal Olavo Pereira da Silva ","Municipal","Avenida João Gomes Pedroso","Centro","(91)98447-9080","safirapxb@hotmail.com"
"Piçarra","Biblioteca Pública Municipal Professor Manoel Messias Lopes","Municipal","Rua Araguanã, N208","Centro","",""
"Placas","Não há informações sobre biblioteca pública nesse município.","","","","",""
"Ponta de Pedras","Biblioteca Pública Municipal Eládio Malato ","Municipal","Rua 15 de Novembro  s/n Ponta de Pedras/PA","Centro","(91)98499-9080","lolitatavares@gmail.com"
"Portel","Biblioteca Pública Municipal Raimunda de Souza Primavera ","Municipal","Rua Floriano Peixoto ","Centro","(91)98135-0389","josecamarasoaresfilho@hotmail.com"
