"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Afogados da Ingazeira","Biblioteca Pública Municipal Monsenhor Alfredo Arruda Câmara","Municipal","Rua Barão de Lucemar, s/n","Centro","(87)3838-1235/1282",""
"Afrânio","Biblioteca Pública Municipal Semidocéia da Silva Cavalcante","Municipal","Praça Sebastião Coelho, s/n","Centro","(87) 8839-4767/3868-1054",""
"Agrestina","Biblioteca Pública Municipal Cônegoo Adalberto Damasceno","Municipal","Rua Virgínia Torres, 131","Centro","8137442276",""
"Água Preta","Biblioteca Pública Municipal Cientista Nelson Chaves","Municipal","Praça dos Três Poderes, 3280","Centro","8187589543",""
"Águas Belas","Biblioteca Pública Municipal Elcy de Araújo Malta","Municipal","Avenida Coronel Alfredo Duarte","Centro","",""
"Alagoinha","Biblioteca Pública Municipal Maria das Dores Antunes Galindo","Municipal","Avenida Gonçalo Antunes de Oliveira, s/n","Centro","8188332711",""
"Aliança","Biblioteca Pública Municipal Professor Sílvio Rabelo","Municipal","Rua Siqueira Campos, s/n","Centro","8196322967",""
"Altinho","Biblioteca Pública Municipal Luiz Pessoa de Oliveira","Municipal","Praça Júlio Rodrigues Filho, 62","Centro","8199496336",""
"Amaraji","Biblioteca Pública Municipal Dom Carlos Coelho","Municipal","Rua Comendador José Pereira de Araújo, s/n","Centro","8135531323",""
"Angelim","Biblioteca Pública Municipal Josefa de Oliveira Borba","Municipal","Rua Francisco Bezerra dos Santos, s/n","Centro","8737881156",""
"Araçoiaba","Biblioteca Pública Municipal Ariano Suassuna","Municipal","Rua Antônio Carneiro, s/n","Centro","",""
"Araripina","Biblioteca Pública Municipal Antonieta Salatiel Alencar Arraes","Municipal","Rua José Barreto de Souza Sombra, 143","Centro","",""
"Arcoverde","Biblioteca Pública Municipal Professora Marina Magalhães","Municipal","Avenida Pedro II, s/n","Centro","8791616515",""
"Barra de Guabiraba","Biblioteca Pública Municipal Doutor Mário Pereira de Lucena","Municipal","Praça Carlos Augusto Alves de Araújo, s/n","Centro","8191581672",""
"Barreiros","Biblioteca Pública Municipal Júlio Belo","Municipal","Rua Olímpio Teodoro, s/n","Centro","8187494125",""
"Belém de Maria","Biblioteca Pública Municipal Joaquim Nabuco","Municipal","Rua Capitão José de Gouveia, s/n","Centro","8136861153",""
"Belém do São Francisco","Biblioteca Pública Municipal Professor Manoel Costa Cavalcante","Municipal","Rua Coronel Trapiá, 180","Centro","8738761591",""
"Belo Jardim","Biblioteca Pública Municipal Professora Isabel Ferreira","Municipal","Rua Major Maciel, 42","Centro","8137268711",""
"Betânia","Biblioteca Pública Municipal Jerônimo de Souza Neto","Municipal","Praça da Bandeira, s/n","Centro","8738521156",""
"Bezerros","Biblioteca Pública Municipal Vereador José Santiago Filho","Municipal","Rua Henrique Dias, s/n","Santo Antônio","8137286704",""
"Bodocó","Biblioteca Pública Municipal Vidalina Gomes da Silva","Municipal","Rua Cícero Bezerra, s/n","Centro","",""
"Bom Conselho","Biblioteca Pública Municipal de Bom Conselho","Municipal","Praça Frei Caetano de Messina, s/n","Centro","8737714706",""
"Bom Jardim","Biblioteca Pública Municipal João Moura  Cavalcanti","Municipal","Praça Barão de Lucena, s/n","Centro","8136381156",""
"Bonito","Biblioteca Pública Municipal Professora Maria do Carmo de Menezes","Municipal","Rua Esmeraldino Bandeira, s/n","Centro","8137371468",""
"Brejão","Biblioteca Pública Municipal Manoel Goes Sobrinho","Municipal","Praça Vereador José Augusto Pinto ","Centro  ","",""
"Brejinho","Biblioteca Pública Municipal Manoel Nunes Ferreira","Municipal","Rua São Sebastião, 4","Centro","8738501156",""
"Brejo da Madre de Deus","Biblioteca Pública Municipal Marechal Humberto de Alencar Castelo Branco","Municipal","Rua Maestro Tomás de Aquino, 3","Centro","8137471259",""
"Brejo da Madre de Deus-Fazenda Nova","Biblioteca Pública Municipal Maria Margarida Mendonça Brasileiro","Municipal","Rua Soares da Costa, 22","Centro","8199200965",""
"Buenos Aires","Biblioteca Púbica Municipal de Buenos Aires","Municipal","Rua Major Severino Mendes s/n","Centro","(81) 3647-1167",""
"Buíque","Biblioteca Municipal Graciliano Ramos","Municipal ","Praça Nonô Camelo s/n ","Centro","(87) 3855-2909",""
