"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Acauã","Biblioteca Pública Municipal de Acauã","Municipal","","","",""
"Água Branca","Biblioteca Pública Municipal Manoel Ferreira Santana","Municipal","Rua Adalberto Santana, s/n","Centro","(86) 9936-9369",""
"Agricolândia","Biblioteca Pública Municipal de Agricolândia","Municipal","","","",""
"Alagoinha do Piauí","Biblioteca Pública Municipal José Crisóstomo Neto","Municipal","Rua Manoel Policarpo, 90-3","Centro","(89) 3442-1196",""
"Alegrete do Piauí","Biblioteca Pública Municipal de Alegrete do Piauí","Municipal","Rua Gregório Ramos, 90 ","Centro","(89) 3436-1120",""
"Alto Longá","Biblioteca Pública Municipal Professora Ana Maria Vieira Soares Marques","Municipal","Rua Dom Pedro I, 231","Centro","(86) 8101-6951",""
"Altos","Biblioteca Pública Municipal João Bastos","Municipal","Praça Cônego Honorário, s/n","Centro","8632621988",""
"Alvorada do Gurguéia","Biblioteca Pública Municipal de Alvorada do Gurgueia","Municipal","Rua Cinco, s/n","Centro","8935490026",""
"Amarante","Biblioteca Pública Municipal Nasi Castro","Municipal","Rua Luiz Puça, s/n","Centro","",""
"Angical do Piauí","Biblioteca Pública Municipal Professor Valmir Cruz","Municipal","Rua Ângelo Ferreira, s/n","Centro","8632981519",""
"Anísio de Abreu","Biblioteca Pública Municipal Doutor Valdir Ribeiro Dias","Municipal","Avenida Capitão Manoel Luiz, s/n","Centro","8981041980",""
"Antônio Almeida","Biblioteca Pública Municipal Denilda Rodrigues Guimarães","Municipal","Rua Presidente Dutra, s/n","Centro","8935431145",""
"Aroazes","Biblioeca Pública Municipal de Aroazes","Municipal","Rua Doutor Antonio Veloso, 490","Centro","(89) 3468-1121","biblioteca.aroazespi@yahoo.com.br"
"Arraial","Biblioteca Pública Municipal de Arraial","Municipal","Avenida candido Muniz, 338","Centro","(89) 3555-1259","pmarraial@gmail.com"
