"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Acari","Biblioteca Pública Municipal Maria de Jesus Bezerra","Municipal","Travessa José Evaristo, s/n","Centro","",""
"Açu","Biblioteca Pública Municipal Maria Eugenia M. Mont  ","Municipal","Rua Mons. Júlio Alves Bezerra 1393","","(84) 3331-2038",""
"Afonso Bezerra","Biblioteca Pública Municipal Professora Gildecina Bezerra","Municipal","Praça Cívica 9 de Junho, 4","Centro","",""
"Água Nova","Biblioteca Pública Municipal Viagem da Leitura","Municipal","Rua Nossa Senhora de Fátima, s/n","Centro","",""
"Alexandria","Biblioteca Pública Municipal Guiomar Fernandes","Municipal","Rua Rafael Fernandes, 401","Centro","8491806735",""
"Almino Afonso","Biblioteca Pública Municipal Enok Belarmino","Municipal","Praça Aurino Carlos, 62","Centro","",""
"Alto do Rodrigues","Biblioteca Pública Municipal Cícero Fernandes da Silva","Municipal","Rua Francisco Rodrigues, 190","Centro","",""
"Angicos","Biblioteca Pública Municipal Francisco Pinheiro","Municipal","Rua Expedito Alves, 47","Centro","",""
"Antônio Martins","Biblioteca Pública Municipal Alzira Cavalcante Nunes","Municipal","Rua Raul De Alencar, 25","","(84) 3392-0209","pmantoniomartins@yahoo.com.br"
"Apodi","Biblioteca Pública Municipal Valter de Brito Guerra","Municipal","Rua Padre Benedito Alves, s/n","Centro","",""
"Areia Branca","Biblioteca Pública Municipal José Justiniano Solon","Municipal","Rua Coronel Liberalino, s/n","Centro","8433324960",""
"Arês","Biblioteca Pública Municipal Elina Araújo de Carvalho","Municipal","Rua Leônidas de Paula, s/n","Centro","",""
"Baía Formosa","Biblioteca Pública Municipal Margarida Soares de Melo","Municipal","Largo Aceriato da Cruz, s/n","Centro","",""
"Baraúna","Biblioteca Pública Municipal Ingracia Costa ","Municipal","R. Hermenegildo Montenegro s/n ","Centro","8433203920",""
"Barcelona","Biblioteca Pública Municipal Monsenhor Walfredo Gurgel","Municipal","Rua General Osório, sn","","(84) 3259-0062","pmbarcelona@ibest.com.br"
"Bento Fernandes","Biblioteca Pública Municipal Estudante Francisco Nascimento","Municipal","Rua Tiradentes, 169","Centro","8436370116",""
"Bodó","Biblioteca Pública Municipal João Justino de Macedo","Municipal","Rua Central, 217","Centro","",""
