"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Alta Floresta D'Oeste","Biblioteca Pública Municipal Aurélia Stedile","Municipal","Praça Izidoro Stedile, s/n","Redondo","(69)3641-4038","altairzandonadi@hotmail.com"
"Alto Alegre dos Parecis","Biblioteca Pública Municipal Darci Ribeiro","Municipal","Avenida  Presidente Prudente, s/n","Centro","",""
"Alto Paraíso","Biblioteca Pública Municipal Confúcio Moura","Municipal","Avenida  Jorge Teixeira, 3513","Centro","",""
"Ariquemes","Biblioteca Pública Municipal Pedro Tavares Batalha","Municipal","Avenida Tancredo Neves Setor Institucional, 2490","Centro","(69)3535-2926",""
"Buritis","Biblioteca Pública Municipal Jorge Amado","Municipal","Rua CujubimN1834","Setor 3","(69)99247-1723 / 3238-3675","bibliotecajorgeamado1@gmail.com"
"Cabixi","Biblioteca Pública Municipal de Professor José Ferreira de Souza","Municipal","Rua Tupinambás, 3042","Centro","(69)3345-2353",""
"Cacaulândia","Biblioteca Pública Municipal Monteiro de Lobato","Municipal","Rua João Boava, 1421","Setor 1","6935322104","semec@cacaulandia.ro.gov.br"
"Cacoal","Biblioteca Pública Municipal Vinicius de Moraes","Municipal","Rua Rio Branco, 2140","Centro","(69)3443-1287 / 98448-9917",""
"Castanheiras","Biblioteca Pública Municipal Professora Ivani Miguel da Silva","Municipal","Avenida Jacarandá, s/n","Centro","(69)3474-2050",""
"Cerejeiras","Biblioteca Pública Municipal Joel Gonçalves Freire","Municipal","Avenida São Paulo, 996","Centro","(69)98128-8025",""
"Chupinguaia","Biblioteca Pública Municipal de Chupinguaia","Municipal","Avenida Primavera, 1890","Centro","(69)3346-1107 / 98102-5902",""
"Colorado do Oeste","Biblioteca Pública Municipal Rui Barbosa","Municipal","Avenida Paulo de Assis, 3956","Centro","(69)3341-4467 / 3341-2732","semec.colorado@hotmail.com"
"Corumbiara","Biblioteca Pública Municipal Machado de Assis","Municipal","Avenida  Guarajus, 2054","Centro","(69)3343-2100",""
"Costa Marques","Biblioteca Pública Municipal Laura Ortis Pinho Muniz","Municipal","Avenida  Mamoré, 1459","Centro","(69)3651-2718",""
"Espigão D'Oeste","Biblioteca Pública Municipal Castro Alves","Municipal","Avenida  7 de Setembro, 2036","Centro","(69)98436-2870",""
"Governador Jorge Teixeira","Biblioteca Pública Municipal Sirlei Leite Ribeiro","Municipal","Rua Cerejeiras, 2785","Centro","",""
"Guajará-Mirim","Biblioteca Pública Municipal Jarbas Passarinho","Municipal","Avenida  15 de Novembro, s/n","Centro","",""
"Itapuã do Oeste","Biblioteca Pública Municipal Professora Vera Lúcia Trevisan","Municipal","Rua Costa e Silva, s/n","Centro","(69) 3231-2754",""
"Jaru","Biblioteca Pública Municipal Martim Cerere","Municipal","","","",""
"Ji-Paraná","Biblioteca Pública Municipal Doutor Cyro Escobar Ribeiro","Municipal","Avenida  Transcontinental, s/n","Centro","6934234659",""
"Machadinho D'Oeste","Biblioteca Pública Municipal Professora Maria Andrade Silva","Municipal","Avenida  Castelo Branco, 2556","Centro","",""
"Ministro Andreazza","Biblioteca Pública Municipal Neuza Pereira da S. Manfredinho","Municipal","Avenida  Bahia, 5635","Centro","6999146963",""
"Mirante da Serra","Biblioteca Pública Municipal Vereador Antônio Vieira Sobrinho","Municipal","Avenida  Principal, s/n","Centro","",""
"Monte Negro","Biblioteca Pública Municipal Confúcio Moura","Municipal","Avenida  Jorge Teixeira, s/n","Setor 2","",""
"Nova Brasilândia D'Oeste","Biblioteca Pública Municipal Amália de Souza Mello","Municipal","Avenida  J K, s/n","Setor 14","",""
"Nova Mamoré","Biblioteca Pública Municipal Tancredo Neves","Municipal","Avenida  Desidério Domingos Lopes, 3160","Centro","",""
"Nova União","Biblioteca Pública Municipal Jorge Amado","Municipal","Rua Belo Horizonte, l267","Centro","",""
"Novo Horizonte do Oeste","Biblioteca Pública Municipal de Novo Horizonte do Oeste","Municipal","","","",""
"Ouro Preto do Oeste","Biblioteca Pública Municipal Olavo Bilac","Municipal","Rua Daniel Comboni, s/n","Centro","",""
"Parecis","Biblioteca Pública Municipal Juarez Tavares","Municipal","Rua da Matriz, 336","Centro","",""
"Pimenta Bueno","Biblioteca Pública Municipal Padre Adolfo Rhotz","Municipal","Avenida  Presidente Dutra, s/n","Centro","6934512296",""
"Pimenteiras do Oeste","Biblioteca Pública Municipal Ivaneth Paes A. Nascimento","Municipal","Avenida  Brasil, 893","","",""
"Porto Velho","Biblioteca Pública Municipal Francisco Meirelles","Municipal","Rua José do Patrocínio, 200","Centro","",""
"Não identificado","Biblioteca Pública Estadual Doutor José Pontes Pinto","Estadual","Avenida Farquar, 1793","Pedrinhas","(69)3223-2276",""
"Presidente Médici","Biblioteca Pública Municipal Doutor Ulisses Guimarães","Municipal","Rua Independência, s/n","Centro","6934713050",""
"Primavera de Rondônia","Biblioteca Pública Municipal Dazinho Neres Francino","Municipal","Avenida Tancredo Neves, s/n","Centro","",""
"Rio Crespo","Biblioteca Pública Municipal Rio Crespo","Municipal","Rua Governador Osvaldo Piana Filho","Setor 1","(69) 3539-2007",""
"Rolim de Moura","Biblioteca Pública Municipal Claudevi Aparecido Pauim","Municipal","Avenida  Fortaleza, s/n","Centro","",""
"Santa Luzia D'Oeste","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Avenida  Brasil, s/n","Centro","",""
"São Felipe D'Oeste","Biblioteca Pública Municipal Nercy Rosa de Oliveira ","Municipal","Avenida Tancredo Neves, s/n ","Centro","(69) 3445-1221 ",""
"São Francisco do Guaporé","Biblioteca Pública Municipal Roberto Marinho","Municipal","Avenida Brasil, s/n","Centro","",""
"São Miguel do Guaporé","Biblioteca Pública Municipal Cora Coralina","Municipal","Avenida  Capitão Sílvio, 760","Centro","",""
"Seringueiras","Biblioteca Pública Municipal Renan Camilo de Vasconcelos","Municipal","Rua Curitiba, s/n","Centro","",""
"Teixeirópolis","Biblioteca Pública Municipal Raquel de Queiroz","Municipal","Rua Genibaldo de Souza, s/n","Centro","",""
"Theobroma","Biblioteca Pública Municipal Confúcio Moura","Municipal","Avenida 13 de Fevereiro, s/n","Centro","",""
"Urupá","Biblioteca Pública Municipal Sandra Ramirez","Municipal","Avenida Moacir de Paula Vieira","Centro","(69) 3413-2886",""
"Vale do Anari","Biblioteca Pública Municipal do Vale do Anari   ","Municipal","Avenida Capitão Silvio Farias, 4571","Centro","6935251305",""
"Vale do Paraíso","Biblioteca Pública Municipal Edileuza Rocha de Lima","Municipal","Praça Municipal Deusdete Gomes Moreira, s/n","Centro","",""
"Vilhena","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Praça Nossa Senhora Aparecida, s/n","Centro","",""
