"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Amparo de São Francisco","Biblioteca Pública Municipal  Antonio Freire de Souza","Municipal","Rua João da Cruz, s/n","Centro","(79)3367-1099/3361-1012","educacaoamparo@gmail.com"
"Aquidabã","Biblioteca Pública Municipal Professor Lauro Rocha de Lima","Municipal","Avenida Paraguai , s/n ","Centro","(79)3341-1515","educacaoaquidaba@hotmail.com"
"Aracajú","Biblioteca Pública Estadual Epifânio Dórea","Estadual","Rua Doutor Leonardo Leite, s/n","Treze de julho","(79) 3179-1707 / (79) 3179-1935","biblioteca.publica@seduc.se.gov.br"
"Não identificado","Biblioteca Pública Municipal Ivone de Menezes Vieira","Estadual","Praça Major Edeltrudes Teles - s/n Conj. Augusto Franco","Farolândia","(79) 3179-1707 / (79) 3179-1934","biblioteca.publica@cultura.se.gov.br"
"Não identificado","Biblioteca Pública Municipal  Clodomir Silva","Municipal","Rua Santa Catarina, 314","Siqueira Campos","(79) 3179-3742","biblioteca.clodomirsilva@aracaju.se.gov.b"
"Arauá","Biblioteca Pública Municipal Afonso de Meneses Alves","Municipal","Rua João Nascimento Costa, 163","Centro","(79) 3547-1232","pmaraua.gabinete@gmail.com"
"Areia Branca","Biblioteca Pública Municipal Professora Josefina Simões","Municipal","Praça Joviniano Freire, s/n","Centro","(79) 9.9938-9455","seceducacaoab@yahoo.com.br"
"Barra dos Coqueiros","Biblioteca Pública Municipal Maria Helena Reis Moura","Municipal","Praça Santa Luzia, 80","Centro","(79) 9.9987-37987 / 9.8853-1912","mariasilvamams2013@hotmail.com "
"Boquim","Biblioteca Pública Municipal Hermes Fontes","Municipal","Avenida Manoel Eugênio, s/n","Centro","(79) 3645-3093 / 3546-2179","departamentocultural@hotmail.com /biblioteca.boquim@gmail.com /sec.educacao@boquim.se.gov.br"
"Brejo Grande","Biblioteca Pública Municipal Erílio Mateus","Municipal","Rua Juvina Tojal, s/n","Centro","","semedbg2017@gmail.com
"
"Campo do Brito","Biblioteca Pública Municipal Emiliano José Ribeiro","Municipal","Rua Arnóbio Batista de Souza, 01 Terreo 02","Centro","(79) 9.8127-2104","joseana111@hotmail.com"
"Canhoba","Biblioteca Pública Municipal Maria Luciana dos Santos","Municipal","Praça Antônio Torres Junior, s/n","Centro","(79) 3363-1101","educacaocanhoba@hotmail.com"
"Canindé de São Francisco","Biblioteca Pública Municipal  Promotor de Justiça Paulo Costa","Municipal","Praça Ananias Fernandes, s/n","Centro","(79) 999824699","bibliotecapaulocosta@gmail.com"
"Capela","Biblioteca Pública Municipal Messias Sukita Santos","Municipal","Rua Coelho Campos, 1201","Centro","(79) 9.9934-9014","governomunicipaldecapela@gmail.com / josival.elo@gmail.com
"
"Carira","Biblioteca Pública Municipal Olimpio Rabelo de Moraes","Municipal","Avenida Major Aécio Maia","Centro","(79) 3445-1791","smecarira@gmail.com"
"Carmópolis","Biblioteca Pública Municipal José Amado Alves","Municipal","Rua Getúlio Vargas s/n","Centro","(79) 3277-1210 / (79) 3277-1330 / 3277-1591 / 3277.2159","bibliotecapublica.carmopolis@gmail.com"
"Cedro de São João","Biblioteca Pública Municipal Alvares Rocha","Municipal","Rua Manuel Dantas s/n","Centro","(79) 3347-1233/3347-1230","seme.cedro@hotmail.com / claudiaculturacedro@yahoo.com.br / pmcedro@yahoo.com.br"
"Cristinápolis","Biblioteca Pública Municipal Ana Dórea","Municipal","Praça da Bandeira","Centro","(79) 3542.1205/3542.1270","sec.deculturadecristinapolis@gmail.com/ prefeituradecristinapolis@ig.com.br/ semed_cristinapolis@ig.com.br / bibliotecamunicipalcristinapolisanadorea@hotmail.com"
"Cumbe","Biblioteca Pública Municipal Murilo Xavier","Municipal","Maria Goes de Moraes","Centro","(79) 3362.1243 /3362.1171","semec.cumbe@yahoo.com.br"
"Divina Pastora","Biblioteca Pública Municipal Irmã Vera França","Municipal","Rua São Pedro, s/n","Centro","(79) 3271.1239 /","educação@divinapastora.se.gov.br"
"Estância","Biblioteca Pública Municipal Monsenhor Silveira","Municipal","Rua Jackson de Figueiredo, 75","Centro","(79) 3522.4339 / 3522.5643 / 3522.0131","biblioteca.capacitadora@gmail.com"
"Feira Nova","Biblioteca Pública Municipal Manoel Joaquim dos Santos","Municipal","Praça José Joaquim dos Santos,","Centro","(79) 3313-1074","sme.feiranova@gmail.com "
"Frei Paulo","Biblioteca Pública Municipal Manoel Joaquim dos Santos","Municipal","Praça Capitão João Tavares, 180","Centro","(79) 3313.1074","almeida_perla@hotmail.com / ira.matosfp@gmail.com"
"Gararu","Biblioteca Pública Municipal Olga do Couto Correira","Municipal","Praça Rio Branco","Centro","(79) 3354-1121/ 9.9968-9970","secretariaedgararu@gmail.com"
"General Maynard","Biblioteca Pública Municipal Professora Maria de Lourdes Cruz","Municipal","Praça da Matriz, s/n","Centro","(79) 3268.1254","semedgeneral@hotmail.com / pmgeneralmaynard.se@gmail.com"
"Gracho Cardoso","Biblioteca Pública Municipal de Graccho Cardoso","Municipal","Rua 1º de Fevereiro, s/n","Centro","(79) 3319-1072/3319-1158/3319-1188 9.9987.9322","pmgc_controleinterno@hotmail.com / semed.gc@hotmail.com
"
"Ilha das Flores","Biblioteca Pública Municipal Santa Maria Gonrette","Municipal","Praça Santo Antônio, 72","Centro","(79) 3377-1000 9.9947.2522","pereirasantosconceio@yahoo.com / eudcailha@gmail.com
"
"Indiaroba","Biblioteca Pública Municipal  Judite Rocha de Oliveira","Municipal","R. A, nº 01","Conjunto Senhor dos Passaros","(79) 3543.1472","culturaesportejuventude@indiaroba.se.gov.br"
"Itabaiana","Biblioteca Pública Municipal Rua Florival de Oliveira","Municipal","Rua Álvaro Fonseca de Oliveira, 466","Centro","(79) 3431.9701/3431.9705","culturaitabaiana@gmail.com / bibliotecaflorival@gmail.com"
"Itabaianinha","Biblioteca Pública Municipal Valdete Dórea ","Municipal","João Alves Filho, s/n","Centro ","","secultitabaianinha@gmail.com"
"Itabi","Biblioteca Pública Municipal Terezinha Feitosa Melo","Municipal","Praça São João, 317","Centro","(79) 3314-1260 / (79) 3314-1208","secmeditabi@Bol.com"
"Itaporanga d'Ajuda","Biblioteca Pública Municipal Padre Everaldo Lima Viana","Municipal","Avenida Cel. Domingos Dias S/N","Centro","(79)3654-2738 / 3264-2700","braulioteatro.lima@yahoo.com.br"
"Japaratuba","Biblioteca Pública Municipal Julita Dorotheu Guimarães","Municipal","Avenida Doutor Octavio Accyole Sobral, 311","Centro","(79) 3272.3234 3272.1822","bibliotecadejaparatuba@gmail.com/educacaopaparatuba@gmail.com"
"Japoatã","Biblioteca Pública Municipal Maria José Vieira Caldas","Municipal","Rua Jackson de Figueiredo, 609  ","Centro","(79) 3348-1230 / 3348-1135","msg.jap@hotmail.com / adriananeto97@hotmail.com com"
"Lagarto","Biblioteca Pública Municipal José Vicente de Carvalho","Municipal","Praça Manoel Emílio de Carvalho, s/n","Centro","(79) 9.9907.2013","bibliotecamunicipal@lagarto.se.gov.br / secjesp@lagarto.se.gov.br"
"Não identificado","Biblioteca Pública Municipal Professora Maria Alice Cirila da Silva ","Municipal","Rua do Mercado, 195","Povoado Brasilia","(79) 3631.9610 / 9.9973.7321","biblioteca.alicecirila@yahoo.com.br"
