"Estados","Sigla","Numero de Bibliotecas","Densidade"
"Acre","AC","19","5,37/km2"
"Alagoas","AL","113","119,86/km2"
"Amazonas","AM","59","2,66/km2"
"Amapá","AP","18","5,94/km2"
"Bahia","BA","443","26,34/km2"
"Ceará","CE","202","61,33/km2"
"Espírito Santo","ES","80","87,22/km2"
"Goiás","GO","246","20,63/km2"
"Maranhão","MA","193","21,46/km2"
"Minas Gerais","MG","888","39,09/km2"
"Mato Grosso do Sul","MS","83","7,78/km2"
"Mato Grosso","MT","133","3,86/km2"
"Pará","PA","127","6,91/km2"
"Paraíba","PB","196","71,16/km2"
"Pernambuco","PE","181","97,45/km2"
"Piauí","PI","209","13,01/km2"
"Paraná","PR","526","57,37/km2"
"Rio de Janeiro","RJ","148","394,62/km2"
"Rio Grande do Norte","RN","159","66,41/km2"
"Rondônia","RO","49","7,47/km2"
"Roraima","RR","15","2,7/km2"
"Rio Grande do Sul","RS","533","40,39/km2"
"Santa Catarina","SC","239","74,84/km2"
"Sergipe","SE","78","104,83/km2"
"São Paulo","SP","842","184,99/km2"
"Tocantins","TO","122","5,66/km2"
"Distrito Federal","DF","23","523,41/km2"
