"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Aliança do Tocantins","Biblioteca Pública Municipal Cecília Meireles","Municipal","Rua dos Bandeirantes, 45","Centro","6333771992",""
"Almas","Biblioteca Pública Municipal de Almas","Municipal","Avenida São Sebastião, 146","Centro","6392186083",""
"Alvorada","Biblioteca Pública Municipal João Furtado Pimentel","Municipal","Avenida Adelino Pinheiro de Queiroz, s/n","Centro","6333531973",""
"Ananás","Biblioteca Pública Municipal Professor Alfredo Nasser","Municipal","Rua JK, s/n","Centro","6334421232",""
"Angico","Biblioteca Pública Municipal Maria Martins Marinho","Municipal","Rus do Comércio, s/n","Centro","6334311279",""
"Aparecida do Rio Negro","Biblioteca Pública Municipal Juscelino Kubitschek","Municipal","Avenida 7 de Setembro, s/n","Centro","",""
"Aragominas","Biblioteca Pública Municipal Isaías Carvalho de Araújo","Municipal","Avenida Marinopólis, s/n","Centro","6334631275",""
"Araguacema","Biblioteca Pública Municipal Sebastião Lopes do Nascimento","Municipal","Estrada da Balsa, s/n","Jardim Planalto","6334721489",""
"Araguaçu","Biblioteca Pública Municipal de Araguaçu","Municipal","Praça Raul de Jesus Lima, 08","Centro","6333842057",""
"Araguaína","Biblioteca Pública Municipal Anacleto José da Silva","Municipal","Rua 7 de Setembro, 367","Centro","6334211679",""
"Araguanã","Biblioteca Pública Municipal Sílvio Petrus","Municipal","Avenida Araguaia, s/n","Centro","6334281184",""
"Araguatins","Biblioteca Pública Municipal Ednalva Rodrigues Miranda","Municipal","Praça Benjamim Fernandes, s/n","Centro","6334742140",""
"Arapoema","Biblioteca Pública Municipal Irmã Rita","Municipal","Rua Francisco Frutuoso de Aguiar, s/n","Centro","6334351623",""
"","Biblioteca Pública Municipal Professora Maria José Gomes de Sales","Municipal","Avenida dos Cristais, 424","Centro","6334351102",""
"Arraias","Biblioteca Pública Municipal Edinéa Cordeiro dos Santos","Municipal","Rua Brigadeiro Felipe, 1","Centro","6336532062",""
"Augustinópolis","Biblioteca Pública Municipal Wackson Carneiro dos Santos","Municipal","Rua Dom Pedro I, s/n","Centro","6334561232",""
"Aurora do Tocantins","Biblioteca Pública Municipal Cora Coralina","Municipal","Praça da Matriz, s/n","Centro","6336581344",""
